0	0	0
63,5	1,49	178,37
76,39	2,46	193,93
80,37	3,31	199,72
87,63	4,17	202,21
97,24	5,63	206,63
105,47	6,73	209,91
106,77	6,95	208,7
116,31	8,36	206,86
125,51	9,81	206,49
135,37	11,14	210,42
144,85	12,44	210,23
154,16	13,84	208,93
163,89	15,28	207,68
173,48	16,52	206,62
183,04	17,89	204,69
192,65	19,49	202,19
202,35	21,01	198,94
214,29	22,32	194,54
220,6	22,4	191,76
227,05	22,73	191,78
230,16	22,91	192,36
239,76	23,49	194,05
249,3	24,06	196,03
258,85	24,49	197,47
268,42	25,03	199,14
274,24	25,62	199,54
277,96	26,05	199,34
289,54	27,44	198,56
299,05	28,61	196,77
309,05	29,79	195,52
318,46	30,78	194,36
327,49	31,49	193,67
337,98	31,33	193,34
344,99	31,2	193,15
354,99	31,14	193,19
364,55	31,03	193,28
373,81	31	193,02
383,4	30,68	192,27
390,42	30,4	191,56
396,57	30,21	191,66
405,17	29,48	190,89
412,27	28,66	189,85
421,85	27,47	188,59
431,44	26,34	186,96
441,01	25,29	184,7
453,2	24,26	182,42
