0	0	0
63,5	1,49	178,37
76,39	2,46	193,93
80,37	3,31	199,72
87,63	4,17	202,21
97,24	5,63	206,63
105,47	6,73	209,9
111,11	5,42	230
121,92	7,19	255
131,21	8,03	261,1
145,11	9,11	233,7
156,08	10,57	219,8
165,14	12,56	208,8
175,97	15,26	197,9
186	17,42	195,1
195,94	18,1	195,7
199,56	18,36	194,3
205,75	19,02	193,8
214,43	19,39	194,5
224,96	19,1	194,9
234,31	18,85	196,8
239,95	18,76	196,1
244,71	18,29	194,6
254,15	15,63	189,9
263,83	14,05	189,6
273,28	14,35	189
284,52	15,13	189,5
293,18	16,85	188,5
301,56	18,26	186
307,28	18,42	184,9
313,2	18,79	184,7
322,56	19,27	184,6
331,89	20,18	182,2
336,5	21,42	182
341,27	22,83	180,4
349,37	24,54	179,1
359,63	27,04	178,1
372,83	30,1	177,1
