# U5A perpendicular ellipse of uncertainty, confidence 0.99
# calculation 6c71194a-1f10-487f-b9fc-eea468ce2b76, trajectory 5359133d-115b-432a-b77f-02c3b9ad48e5
# MD(m)  Inclination(deg)  Azimuth(deg)  SemiMajor(m)  SemiMinor(m)  AngleFromHighSide(deg)
-91.2000	0.000000	0.000000	0.123952	0.123952	135.000000
-67.8600	0.180000	154.340000	0.359580	0.359445	90.000000
-38.9900	0.740000	161.430000	0.464936	0.462713	88.833087
-10.1200	3.510000	203.560000	0.619575	0.588602	81.639145
18.7500	5.270000	226.620000	0.870170	0.768136	76.110501
47.6200	6.540000	202.680000	1.177264	0.955755	95.855766
76.4900	9.710000	183.070000	1.579810	1.159117	105.624652
105.3600	13.880000	167.150000	2.113436	1.387290	109.987337
134.2300	17.290000	160.080000	2.788411	1.645544	108.186666
163.1000	17.720000	158.470000	3.519496	1.917923	104.788328
191.9700	17.330000	158.490000	4.260215	2.196632	101.869776
220.8400	18.300000	158.850000	5.050017	2.490950	99.470948
249.7100	18.440000	154.880000	5.838853	2.788676	101.276151
278.5800	18.390000	156.410000	6.644119	3.090739	98.544675
288.2000	18.530000	157.710000	6.916910	3.192743	96.995439
297.8200	19.110000	156.840000	7.193883	3.296790	97.471345
307.4500	19.610000	155.810000	7.476940	3.402532	98.076684
317.0700	20.300000	156.420000	7.772252	3.510589	97.163724
326.6900	21.210000	157.490000	8.081179	3.621628	95.870766
336.3200	21.550000	159.420000	8.397377	3.734504	93.900124
345.9300	21.790000	160.840000	8.715384	3.848375	92.476749
355.5600	22.050000	162.840000	9.037541	3.963640	90.597487
356.5000	21.910000	163.510000	9.068789	3.975049	89.977566
