# U5X perpendicular ellipse of uncertainty, confidence 0.99
# calculation d1aafd0b-756a-4737-a390-42c81009d2d9, trajectory 9f116960-2122-4930-9230-922fceb365aa
# MD(m)  Inclination(deg)  Azimuth(deg)  SemiMajor(m)  SemiMinor(m)  AngleFromHighSide(deg)
-91.2000	0.000000	0.000000	0.123952	0.123952	135.000000
-35.7200	1.490000	178.370000	0.505569	0.484396	90.000000
-22.8300	2.460000	193.930000	0.593709	0.561624	78.722956
-18.8500	3.310000	199.720000	0.622988	0.585753	74.669647
-11.5900	4.170000	202.210000	0.680847	0.630283	75.595381
-1.9800	5.630000	206.630000	0.769026	0.690767	76.009887
6.2500	6.730000	209.910000	0.854259	0.743888	76.364992
7.5500	6.950000	208.700000	0.868303	0.752385	77.991562
17.0900	8.360000	206.860000	0.986540	0.816844	82.172067
26.2900	9.810000	206.490000	1.118606	0.881900	84.097163
36.1500	11.140000	210.420000	1.278279	0.954732	82.193842
45.6300	12.440000	210.230000	1.450730	1.028357	83.762538
54.9400	13.840000	208.930000	1.640041	1.104693	85.869472
64.6700	15.280000	207.680000	1.859200	1.188995	87.565402
74.2600	16.520000	206.620000	2.093675	1.276302	88.802660
83.8200	17.890000	204.690000	2.347090	1.368098	90.565952
93.4300	19.490000	202.190000	2.623779	1.465799	92.547659
103.1300	21.010000	198.940000	2.922943	1.569611	94.881526
115.0700	22.320000	194.540000	3.310067	1.703249	97.689693
121.3800	22.400000	191.760000	3.514101	1.774793	99.567354
127.8300	22.730000	191.780000	3.729382	1.849227	98.896566
130.9400	22.910000	192.360000	3.835094	1.885531	98.088612
140.5400	23.490000	194.050000	4.170620	2.000374	95.916263
150.0800	24.060000	196.030000	4.513377	2.117519	93.739815
159.6300	24.490000	197.470000	4.862478	2.237282	92.228099
169.2000	25.030000	199.140000	5.219827	2.359838	90.655453
175.0200	25.620000	199.540000	5.441721	2.435586	90.279444
178.7400	26.050000	199.340000	5.585716	2.484547	90.444618
190.3200	27.440000	198.560000	6.055463	2.642520	91.033550
199.8300	28.610000	196.770000	6.454800	2.776103	92.412327
209.8300	29.790000	195.520000	6.889677	2.920713	93.225943
219.2400	30.780000	194.360000	7.310105	3.060348	93.922975
228.2700	31.490000	193.670000	7.722381	3.197469	94.220511
238.7600	31.330000	193.340000	8.201134	3.360364	94.230866
245.7700	31.200000	193.150000	8.520249	3.469518	94.225629
255.7700	31.140000	193.190000	8.976047	3.625189	93.971474
265.3300	31.030000	193.280000	9.411042	3.774467	93.711759
274.5900	31.000000	193.020000	9.831109	3.919204	93.759451
284.1800	30.680000	192.270000	10.260516	4.069464	94.223107
291.2000	30.400000	191.560000	10.571384	4.179093	94.698400
297.3500	30.210000	191.660000	10.845207	4.274590	94.501655
305.9500	29.480000	190.890000	11.216236	4.407354	95.028735
313.0500	28.660000	189.850000	11.512728	4.515055	95.825165
322.6300	27.470000	188.590000	11.897542	4.655256	96.780770
332.2200	26.340000	186.960000	12.264858	4.790078	98.061350
341.7900	25.290000	184.700000	12.611323	4.919119	99.898613
353.9800	24.260000	182.420000	13.035455	5.076933	101.667840
