# U6B-Wisting perpendicular ellipse of uncertainty, confidence 0.99
# calculation 6147e3e5-66ce-434d-a062-1ec651514d9a, trajectory 17d956cb-5cef-4003-87d1-9d89804f0925
# MD(m)  Inclination(deg)  Azimuth(deg)  SemiMajor(m)  SemiMinor(m)  AngleFromHighSide(deg)
-91.2000	0.000000	0.000000	0.123952	0.123952	135.000000
-89.9600	0.110000	240.190000	0.223191	0.223188	90.000000
-79.5000	0.260000	216.470000	0.284805	0.284681	91.108613
-70.0200	0.570000	194.730000	0.341005	0.340452	97.856660
-60.7200	1.110000	182.610000	0.336879	0.334960	98.797430
-54.2200	1.670000	176.180000	0.377375	0.373425	99.564569
-44.0200	0.440000	294.460000	0.436107	0.433228	170.171034
-35.7200	0.620000	313.840000	0.484000	0.481906	161.022993
-25.4200	0.620000	318.070000	0.543894	0.542361	171.123793
-3.5200	0.970000	18.160000	0.671058	0.670883	175.888757
24.4800	2.110000	37.370000	0.840804	0.836093	81.879138
32.2800	2.380000	36.660000	0.890164	0.882338	84.489625
55.7800	1.540000	139.570000	1.026421	1.020057	10.419536
80.4800	4.620000	147.320000	1.186450	1.167285	57.295395
90.0800	5.930000	139.220000	1.260369	1.226267	72.720510
93.9800	6.280000	138.340000	1.292374	1.250346	75.536408
101.0800	7.120000	133.810000	1.355891	1.294955	82.129686
110.6800	9.230000	135.540000	1.458576	1.357984	82.791029
119.8800	11.970000	131.440000	1.582941	1.422702	87.728610
129.0800	15.040000	132.990000	1.741067	1.492693	87.072229
138.1800	17.370000	133.740000	1.929791	1.566014	87.132649
167.0800	28.380000	134.150000	2.962740	1.880177	88.557503
187.8800	36.690000	134.090000	3.980505	2.167949	89.151514
224.2800	49.700000	131.180000	6.344163	2.807931	90.686264
249.7800	59.370000	130.980000	8.250173	3.305595	90.462595
282.1800	68.310000	132.910000	10.887177	3.987219	89.751559
310.9800	75.590000	133.730000	13.339519	4.603539	89.737422
339.7800	85.980000	135.580000	15.857988	5.109288	89.945652
377.0800	86.940000	133.760000	19.009054	5.938657	90.016206
390.5800	86.680000	133.290000	20.203365	6.322657	90.023422
433.7800	88.050000	133.670000	24.029020	7.496830	90.024052
445.6800	88.240000	133.610000	25.084135	7.830037	90.024874
473.5800	89.350000	134.230000	27.555987	8.590165	90.041132
498.9800	89.720000	135.390000	29.795593	9.310087	90.070314
529.4800	90.340000	136.570000	32.475835	10.171242	90.122951
582.2800	90.330000	136.120000	37.174809	11.716157	90.096343
597.7800	90.580000	135.930000	38.555497	12.160667	90.096710
639.1800	90.520000	135.640000	42.238594	13.382092	90.078846
