# Case2_F041_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6538958.9920	326176.9005	619.3809
1	6538937.9920	326149.9005	691.1170
2	6539029.4920	326105.0575	592.6609
2	6539023.9920	326097.4945	656.8501
2	6539007.4920	326075.8385	715.6223
3	6539100.4920	326094.8695	594.7985
3	6539076.4920	326063.2135	669.2338
3	6539038.9920	326014.4945	749.4875
4	6539153.4920	326019.9005	594.7933
4	6539127.9920	325986.8695	667.6101
4	6539055.4920	325891.9635	783.1826
5	6539192.4920	325988.4635	584.9196
5	6539151.9920	325936.1505	682.8444
5	6539090.4920	325855.4635	789.2009
6	6539219.9920	325901.4005	611.5918
6	6539187.9920	325859.3385	698.9220
6	6539136.9920	325793.0885	764.8815
7	6539268.9920	325841.9635	604.1071
7	6539235.9920	325798.9325	689.4278
7	6539180.9920	325727.2765	773.9155
8	6539321.9920	325787.9635	615.9864
8	6539307.9920	325769.4325	680.3990
8	6539227.9920	325664.7765	780.2907
9	6539357.9920	325711.2765	609.9617
9	6539335.9920	325682.8385	702.6619
9	6539264.4920	325589.5265	785.5735
10	6539375.9920	325632.3075	617.7533
10	6539357.4920	325607.8385	701.5469
10	6539279.4920	325505.9635	793.4547
11	6539423.9920	325571.4945	612.6113
11	6539410.4920	325553.6825	695.9383
11	6539300.4920	325410.0885	821.2519
12	6539502.4920	325550.7765	609.6160
12	6539470.4920	325509.1195	695.1102
12	6539366.4920	325373.3075	819.2155
13	6539560.4920	325523.5575	617.6320
13	6539522.4920	325474.3385	698.2258
13	6539418.9920	325338.9005	825.3289
14	6539600.9920	325473.7445	631.3962
14	6539572.9920	325437.5265	697.5266
14	6539475.4920	325309.5885	829.1630
