# Case1_F017_NNE, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6536351.9920	329269.8075	657.2311
1	6536351.4920	329277.0265	715.9975
1	6536351.4920	329283.9945	762.5254
1	6536351.4920	329277.3385	904.6722
1	6536351.4920	329292.4325	1022.9330
2	6536260.9920	329239.4005	626.9860
2	6536260.9920	329238.9005	697.0652
2	6536260.9920	329224.7765	772.5039
2	6536260.9920	329213.1825	882.1114
2	6536261.4920	329203.4635	991.7674
3	6536182.9920	329223.7445	615.4423
3	6536183.4920	329211.3385	746.1247
3	6536183.4920	329197.5265	876.8064
3	6536183.4920	329196.9635	1007.5345
4	6536138.4920	329214.3385	601.5364
4	6536138.4920	329203.1195	727.5120
4	6536138.4920	329192.9635	885.2521
4	6536138.4920	329200.8385	1045.6784
5	6536100.9920	329230.8385	560.4389
5	6536100.9920	329209.0885	688.9273
5	6536100.9920	329206.1825	804.0925
5	6536100.9920	329206.4945	919.2630
5	6536100.9920	329211.9945	1034.3789
6	6536055.9920	329229.4325	548.5154
6	6536055.9920	329216.6505	632.7583
6	6536055.9920	329217.7765	703.5525
6	6536055.9920	329219.6505	854.0500
6	6536055.9920	329220.3695	1036.1482
7	6536028.4920	329229.0265	553.8607
7	6536028.4920	329222.0265	630.3007
7	6536028.4920	329225.4005	726.5510
7	6536028.9920	329213.4005	892.0809
7	6536028.4920	329247.5265	1036.5756
8	6535968.4920	329210.0885	593.5710
8	6535968.4920	329200.3695	699.6864
8	6535968.4920	329216.5575	889.7013
8	6535968.4920	329227.4635	1055.5918
