# Case2_F150_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6536096.4920	326467.1195	876.7820
1	6536069.9920	326432.7445	949.8086
1	6536044.4920	326399.0265	998.7147
2	6536133.9920	326454.6505	878.5776
2	6536111.9920	326425.5885	943.9268
2	6536083.9920	326389.3385	1007.8591
3	6536179.9920	326432.1195	881.1644
3	6536153.9920	326398.6505	959.0468
3	6536131.4920	326368.9325	1017.1963
4	6536192.4920	326407.9005	887.9054
4	6536178.4920	326389.5885	954.8320
4	6536152.4920	326355.2765	1023.6227
5	6536230.4920	326395.7135	887.7643
5	6536209.4920	326368.2445	960.6156
5	6536182.4920	326332.6195	1030.4259
6	6536266.4920	326381.0575	882.7488
6	6536244.4920	326352.0265	962.4913
6	6536211.9920	326309.6195	1039.9610
7	6536294.4920	326376.3075	875.0264
7	6536280.4920	326358.0885	934.9431
7	6536258.4920	326329.3385	993.2228
7	6536231.4920	326294.1195	1050.2087
8	6536322.9920	326372.2135	867.0256
8	6536307.4920	326352.0575	934.6700
8	6536282.4920	326319.5575	997.5330
8	6536251.9920	326279.9005	1058.8696
9	6536357.4920	326356.2445	865.5675
9	6536348.4920	326343.8695	914.9988
9	6536332.4920	326323.3075	965.0654
9	6536284.4920	326260.8385	1064.2158
10	6536391.9920	326339.3695	866.1707
10	6536363.4920	326302.0575	967.7479
10	6536325.9920	326252.8075	1054.7804
11	6536421.9920	326317.0265	853.2142
11	6536407.4920	326297.7765	928.8209
11	6536396.4920	326283.5575	966.8204
11	6536368.4920	326247.1195	1043.1050
12	6536444.4920	326284.2445	874.7075
12	6536442.9920	326282.4635	926.6075
12	6536431.4920	326267.3385	983.4546
12	6536409.9920	326239.4325	1039.9177
13	6536472.4920	326259.5575	904.0077
13	6536464.9920	326249.9325	973.7683
13	6536448.4920	326228.3385	1052.7769
14	6536505.4920	326199.5265	889.3017
14	6536499.4920	326191.6195	973.0865
14	6536491.4920	326181.4635	1058.5349
15	6536539.4920	326162.2135	900.7930
15	6536530.4920	326150.1825	981.8587
15	6536521.9920	326138.7135	1061.6168
16	6536589.4920	326124.2445	883.7391
16	6536581.9920	326114.8385	971.6043
16	6536572.9920	326103.0265	1062.6933
