# Case2_F025_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6540144.4920	324724.0575	665.3147
1	6540097.4920	324662.3385	812.2268
1	6539974.9920	324502.5885	997.7208
2	6540111.9920	324763.4945	670.5631
2	6540072.9920	324712.7765	810.0154
2	6539962.4920	324568.3075	986.7132
3	6540056.9920	324856.5885	670.6758
3	6540016.9920	324804.1195	808.6478
3	6539897.9920	324648.7765	979.5208
4	6540011.4920	324961.1505	669.9983
4	6539955.9920	324888.6505	815.4403
4	6539841.9920	324740.0885	989.4601
5	6539897.4920	325080.0885	663.0467
5	6539824.9920	324984.9635	820.6524
5	6539707.4920	324831.4945	980.0381
6	6539816.9920	325180.0885	660.0563
6	6539759.4920	325104.9945	794.4493
6	6539622.9920	324926.5265	968.0222
7	6539771.9920	325265.5265	657.1442
7	6539753.4920	325241.2445	727.4477
7	6539743.9920	325228.8075	766.7002
7	6539688.9920	325157.2765	848.5797
7	6539586.9920	325023.4945	965.3723
8	6539709.4920	325348.1825	657.3554
8	6539643.9920	325262.8385	792.3224
8	6539489.4920	325060.5575	975.8157
