# Case1_F096_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6529972.9920	330454.4635	926.6044
1	6529939.4920	330410.8075	1094.8848
1	6529818.9920	330253.3075	1498.9590
2	6530069.4920	330415.9005	854.4883
2	6529995.4920	330319.1505	1175.7484
2	6529904.4920	330200.2765	1494.3260
3	6530178.9920	330374.1195	790.5140
3	6530108.4920	330281.8695	1094.8848
3	6529998.4920	330138.2445	1496.4596
4	6530302.4920	330329.7765	776.3316
4	6530205.4920	330202.9945	1150.7548
4	6530100.4920	330065.7445	1523.8002
5	6530432.4920	330293.9945	776.6212
5	6530342.4920	330176.3075	1088.1792
5	6530205.4920	329997.3695	1554.6765
6	6530571.9920	330291.1195	772.8200
6	6530460.9920	330146.1825	1106.7416
6	6530321.9920	329964.4005	1561.8698
7	6530707.9920	330283.6505	791.4802
7	6530576.9920	330112.4325	1135.7281
7	6530423.4920	329911.9005	1554.1584
8	6530846.9920	330280.4945	797.6859
8	6530716.4920	330109.9005	1104.4248
8	6530520.9920	329854.4635	1538.6440
9	6531003.4920	330279.1505	750.0365
9	6530829.9920	330052.4945	1131.5219
9	6530646.9920	329813.4325	1536.2971
10	6531126.9920	330235.0265	773.0760
10	6530964.9920	330023.3695	1108.4789
10	6530748.4920	329740.4005	1527.1835
11	6531272.9920	330220.2765	702.8594
11	6531067.4920	329951.5885	1122.6217
11	6530868.4920	329691.6195	1537.5772
12	6531379.9920	330154.3385	653.2653
12	6531276.4920	330018.9325	920.2036
12	6531173.4920	329884.4005	1136.9778
12	6530984.4920	329637.3385	1542.3931
13	6531470.4920	330066.8075	648.4982
13	6531375.4920	329942.8075	920.2036
13	6531247.4920	329775.6195	1210.0995
13	6531095.4920	329576.8075	1550.6837
14	6531559.4920	329998.1825	648.4982
14	6531464.9920	329874.6195	920.2036
14	6531317.9920	329682.5265	1218.3900
14	6531269.9920	329619.9945	1346.1320
15	6531657.9920	329941.6825	599.6692
15	6531594.4920	329858.8075	800.1670
15	6531544.9920	329794.0575	924.8670
15	6531435.9920	329651.7445	1157.4909
16	6531721.9920	329840.4635	600.6964
16	6531681.9920	329788.0265	730.1635
16	6531636.4920	329728.6505	858.3900
16	6531506.9920	329559.4005	1068.7024
17	6531790.9920	329745.2135	596.8284
17	6531757.9920	329702.1825	710.5160
17	6531677.4920	329597.1505	839.7972
17	6531598.9920	329494.4325	966.0456
18	6531859.4920	329711.4325	560.6852
18	6531780.9920	329608.8695	727.8226
18	6531733.9920	329547.5575	805.4766
18	6531664.9920	329457.4325	871.0088
19	6531878.4920	329633.4325	554.2386
19	6531852.9920	329600.3695	659.6113
19	6531804.4920	329536.8385	767.8978
19	6531715.4920	329420.3695	861.8952
20	6531927.4920	329594.9325	524.2554
20	6531907.9920	329569.4325	660.8975
20	6531850.9920	329494.6825	768.5744
20	6531764.9920	329382.3075	863.1754
21	6531981.9920	329563.0885	538.7030
21	6531951.9920	329524.0885	651.1348
21	6531901.9920	329458.6195	764.0878
21	6531813.9920	329343.8385	866.4368
22	6532045.9920	329544.0575	525.1881
22	6532020.4920	329510.7765	626.8391
22	6531979.4920	329456.9945	727.8226
22	6531915.9920	329374.0265	805.4462
22	6531863.4920	329305.5265	871.0088
23	6532127.9920	329527.8075	515.4040
23	6532099.9920	329491.3075	612.6659
23	6532062.4920	329442.1195	707.4131
23	6531991.4920	329349.3695	788.5328
23	6531922.9920	329259.9005	871.5269
24	6532189.4920	329505.3385	505.4370
24	6532122.4920	329417.7445	708.4495
24	6532024.9920	329290.4005	805.4462
24	6531972.4920	329221.9635	871.0088
25	6532260.9920	329393.0885	475.9354
25	6532243.4920	329370.1195	606.0487
25	6532214.4920	329332.1825	705.3954
25	6532124.4920	329214.5265	805.4462
25	6532071.9920	329146.0265	871.0088
26	6532333.9920	329282.8695	473.3202
26	6532319.9920	329264.5885	603.0677
26	6532294.9920	329231.9325	689.9816
26	6532223.4920	329138.4945	805.4462
26	6532170.9920	329070.0265	871.0088
27	6532383.4920	329244.8075	473.3202
27	6532357.4920	329210.7765	604.4759
27	6532334.9920	329181.4005	687.1409
27	6532220.9920	329032.2135	871.0088
