# Case2_F149_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6536257.4920	326533.4005	842.0122
1	6536256.4920	326532.2765	888.7427
1	6536256.4920	326532.5885	949.7299
1	6536247.9920	326521.2445	1075.7979
1	6536233.9920	326502.8385	1211.3476
2	6536233.9920	326544.1195	816.9320
2	6536236.4920	326547.4635	888.7427
2	6536236.9920	326547.7765	949.7299
2	6536227.9920	326536.4325	1075.7979
2	6536213.9920	326518.0265	1211.3476
3	6536187.4920	326586.1505	784.0269
3	6536184.4920	326582.1505	858.1325
3	6536177.9920	326573.6195	932.5099
3	6536167.4920	326560.2135	1050.8792
3	6536136.4920	326519.8075	1208.6901
4	6536137.9920	326603.4635	775.6836
4	6536129.4920	326592.4635	867.3362
4	6536126.9920	326589.7135	940.8886
4	6536119.9920	326580.5265	1063.3901
4	6536096.4920	326549.4945	1231.7519
5	6536080.9920	326611.4325	782.1554
5	6536077.9920	326607.6825	885.1323
5	6536072.9920	326601.3385	957.9952
5	6536072.4920	326600.6505	1041.9120
5	6536063.4920	326588.6505	1209.4941
6	6536002.9920	326653.4635	820.9413
6	6536004.4920	326655.5885	877.2200
6	6535987.9920	326633.8695	972.4821
6	6535981.4920	326625.3385	1076.3456
6	6535975.4920	326617.9325	1147.5202
