# Case1_F047_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6535115.4920	329020.5265	584.5998
1	6535078.9920	329048.5265	628.0766
1	6535034.9920	329082.1195	665.8261
1	6534970.4920	329131.4635	697.1597
2	6535099.9920	328969.4005	574.9681
2	6535059.4920	329000.4635	622.5628
2	6535007.4920	329040.1505	665.8810
2	6534942.9920	329089.4945	702.6400
3	6535080.4920	328921.4635	564.5592
3	6535034.9920	328956.3075	616.5795
3	6534983.4920	328995.7765	663.4182
3	6534915.9920	329047.4005	708.8731
4	6535043.4920	328871.0265	549.1454
4	6534987.9920	328913.5575	610.1878
4	6534945.4920	328946.1195	663.4182
4	6534872.9920	329001.5885	712.8447
5	6534991.9920	328816.0265	541.2694
5	6534935.4920	328859.2765	610.6725
5	6534884.9920	328897.9635	661.4459
5	6534821.4920	328946.5885	717.1637
6	6534948.4920	328754.8695	537.5569
6	6534893.9920	328796.6195	606.6704
6	6534835.9920	328840.8695	654.8564
6	6534766.9920	328893.8385	710.0131
7	6534903.9920	328694.4325	530.8937
7	6534846.9920	328737.9325	612.0502
7	6534789.4920	328781.9635	658.2823
7	6534717.9920	328836.6825	703.1977
8	6534857.9920	328635.0575	530.8937
8	6534801.4920	328678.3075	612.0502
8	6534757.9920	328711.6505	656.4688
8	6534676.4920	328773.9945	703.9841
9	6534706.4920	328436.3385	530.8937
9	6534649.4920	328479.8385	612.0502
9	6534605.9920	328513.1825	656.4688
9	6534524.4920	328575.5265	703.9841
