# Case1_F059_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6532931.4920	328027.4945	675.9157
1	6532924.9920	328019.2445	741.3524
1	6532920.9920	328014.3385	806.9040
1	6532906.4920	327995.0575	871.4672
1	6532890.9920	327974.7445	935.9014
2	6532911.9920	328043.2765	675.8672
2	6532905.4920	328035.0265	741.2643
2	6532901.4920	328029.9325	806.7778
2	6532886.9920	328010.5265	871.2813
2	6532871.4920	327990.1505	935.6710
3	6532893.4920	328060.6195	675.6706
3	6532886.9920	328051.6505	746.3633
3	6532883.4920	328047.2135	803.1989
3	6532869.9920	328029.7765	860.3609
3	6532851.9920	328006.0265	934.9468
4	6532879.4920	328083.4635	674.9409
4	6532872.9920	328074.6505	739.8900
4	6532866.9920	328066.8385	804.8744
4	6532849.9920	328044.4945	868.5835
4	6532833.9920	328023.5575	932.4740
5	6532866.9920	328107.8385	674.0744
5	6532859.9920	328098.5265	738.6336
5	6532851.9920	328088.1505	803.0986
5	6532832.4920	328063.0885	866.0088
5	6532815.9920	328041.5885	929.4631
6	6532852.9920	328130.6505	673.4020
6	6532845.4920	328121.0575	737.5732
6	6532835.9920	328108.5575	801.5533
6	6532814.9920	328081.3385	863.7774
6	6532798.4920	328059.3385	926.7864
7	6532826.9920	328158.5265	673.0204
7	6532818.9920	328148.4005	739.4081
7	6532808.4920	328134.5265	801.4454
7	6532789.9920	328110.2135	852.6464
7	6532769.9920	328084.0575	924.7018
8	6532794.4920	328177.9635	673.6391
8	6532787.9920	328168.9635	737.1501
8	6532777.4920	328155.4945	800.3624
8	6532756.9920	328129.0575	861.9955
8	6532739.9920	328106.6825	924.2529
9	6532769.9920	328186.9005	674.6123
9	6532763.9920	328178.8695	737.8246
9	6532754.4920	328166.6825	800.7784
9	6532736.4920	328143.3695	862.4951
9	6532719.4920	328121.1505	924.4175
10	6532746.4920	328197.5265	675.3951
10	6532741.4920	328190.5265	738.3861
10	6532732.9920	328179.5265	801.1582
10	6532716.9920	328158.7135	862.9858
10	6532699.9920	328136.4325	924.6220
11	6532714.9920	328217.4945	675.9126
11	6532710.9920	328212.4635	731.5000
11	6532703.4920	328202.7445	796.5966
11	6532690.9920	328186.1825	852.6464
11	6532670.9920	328159.9945	924.7018
12	6532688.4920	328245.0575	675.2149
12	6532684.9920	328240.4945	738.0871
12	6532677.4920	328230.7135	800.7355
12	6532661.9920	328210.1505	862.3872
12	6532643.9920	328186.4945	923.6216
13	6532674.4920	328267.5265	674.1499
13	6532671.9920	328264.2765	737.1306
13	6532664.4920	328254.3385	799.7854
13	6532646.4920	328231.3385	861.1851
13	6532627.4920	328206.3075	922.2851
14	6532650.4920	328298.1505	673.1804
14	6532648.9920	328296.2445	736.3268
14	6532641.4920	328286.0575	799.1042
14	6532621.9920	328260.6195	860.3127
14	6532601.4920	328234.1825	921.3387
15	6532637.4920	328322.4945	673.1706
15	6532637.4920	328322.1195	721.6016
15	6532633.4920	328316.7445	783.1363
15	6532613.4920	328290.9005	845.1666
15	6532586.9920	328255.9325	922.9081
16	6532627.4920	328350.3385	676.1065
16	6532626.9920	328349.3385	741.4710
16	6532619.4920	328339.6505	806.4483
16	6532597.4920	328311.2445	869.4674
16	6532575.9920	328283.0885	932.4849
17	6532606.4920	328384.6505	679.1831
17	6532606.4920	328384.7765	721.9966
17	6532599.9920	328376.2765	806.5569
17	6532575.4920	328343.6825	881.2964
17	6532554.4920	328316.4945	942.0160
18	6532588.4920	328402.0265	679.7278
18	6532587.4920	328400.9635	746.8882
18	6532580.4920	328391.9635	813.7566
18	6532558.4920	328362.9635	878.5221
18	6532533.4920	328330.3075	942.5702
19	6532556.9920	328422.6195	679.1831
19	6532556.9920	328422.7765	721.9966
19	6532550.4920	328414.2445	806.5569
19	6532525.4920	328381.6505	881.2964
19	6532498.4920	328345.9635	939.0601
