# Case1_F142_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6533001.4920	331425.5575	637.2115
1	6532989.4920	331434.7445	776.4078
2	6532978.4920	331395.7765	637.2115
2	6532966.4920	331404.9635	776.4078
3	6532934.9920	331366.0885	650.6867
3	6532925.4920	331373.4945	787.2404
4	6532897.9920	331331.5265	635.0840
4	6532866.9920	331355.1825	831.0494
5	6532854.4920	331301.8075	629.9328
5	6532831.9920	331319.1195	748.9879
5	6532809.9920	331335.9325	868.0827
6	6532810.4920	331272.6505	627.1744
6	6532789.4920	331288.6825	721.1475
6	6532749.9920	331318.9635	901.0621
7	6532771.9920	331239.0265	626.5434
7	6532753.9920	331252.7765	695.9709
7	6532704.4920	331290.6825	896.9473
8	6532733.9920	331189.4005	626.5434
8	6532715.9920	331203.1195	684.0410
8	6532665.4920	331241.8075	839.3702
9	6532683.9920	331148.9005	625.4187
9	6532663.9920	331164.1505	714.4327
9	6532634.4920	331186.8075	811.5727
10	6532661.9920	331087.0885	620.4962
10	6532639.9920	331103.8695	684.0410
10	6532604.4920	331131.1195	787.5696
11	6532646.9920	331067.1505	619.9963
11	6532618.9920	331088.5265	703.6336
11	6532589.9920	331110.6505	787.2404
