# Case1_F085_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6532587.4920	329737.4010	335.8673
1	6532549.4920	329687.6510	430.7609
1	6532486.4920	329605.5572	566.1960
1	6532415.9920	329513.1510	716.4627
2	6532633.4920	329715.5572	350.2081
2	6532603.9920	329676.7447	426.0487
2	6532559.9920	329619.1510	521.4483
2	6532509.4920	329553.0572	614.7325
2	6532456.4920	329483.8697	707.1296
3	6532652.4920	329698.8697	357.0876
3	6532628.4920	329667.4947	429.7641
3	6532584.9920	329611.1197	524.7949
3	6532532.4920	329542.3072	616.6801
3	6532476.9920	329469.5572	707.4285
4	6532673.9920	329686.1510	362.8085
4	6532653.4920	329659.0572	430.8797
4	6532614.4920	329608.0260	518.9763
4	6532580.4920	329564.0572	571.6580
4	6532540.4920	329511.4322	637.1719
4	6532500.4920	329459.1197	704.5085
5	6532707.9920	329668.8385	372.9309
5	6532690.4920	329645.7135	432.1599
5	6532649.9920	329592.5885	522.8839
5	6532591.9920	329517.2447	616.6678
5	6532557.9920	329472.6822	666.8900
5	6532523.9920	329428.4010	724.4577
6	6532731.9920	329659.0885	380.2158
6	6532716.4920	329638.7447	435.3666
6	6532680.4920	329591.4947	515.9557
6	6532648.9920	329550.5885	566.8026
6	6532608.4920	329497.6822	625.5222
6	6532573.4920	329451.9322	678.2590
6	6532541.4920	329409.9322	733.4553
7	6532757.4920	329651.1510	380.7034
7	6532744.4920	329634.3697	424.1496
7	6532705.9920	329583.6510	515.0657
7	6532655.4920	329517.5572	602.1595
7	6532612.9920	329462.3385	657.8799
7	6532578.9920	329417.5885	716.5814
7	6532556.4920	329388.8072	772.6162
8	6532789.4920	329631.2447	386.5404
8	6532777.4920	329615.4635	428.7279
8	6532753.4920	329583.9947	487.7768
8	6532701.9920	329516.9947	589.4066
8	6532669.9920	329474.9010	640.9424
8	6532639.9920	329435.6822	690.3412
8	6532586.4920	329366.1197	797.1464
9	6532821.9920	329612.1510	391.7708
9	6532809.9920	329596.0572	430.5293
