# Case2_F156_NNW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6535236.4920	324795.9635	845.1629
1	6535216.9920	324797.6505	919.2654
1	6535118.4920	324806.1195	1130.1749
1	6534995.4920	324816.6195	1279.9628
2	6535198.9920	324937.7765	764.1432
2	6535180.9920	324939.3075	920.3782
2	6535135.9920	324943.1825	1064.6437
2	6535081.9920	324947.8075	1156.7944
2	6535006.9920	324954.2135	1279.9628
3	6535233.9920	325063.7135	758.1064
3	6535202.9920	325066.3695	916.5499
3	6535094.9920	325075.5885	1153.3815
3	6534999.4920	325083.8075	1263.4551
4	6535216.4920	325162.3695	757.9409
4	6535187.4920	325164.9005	900.8289
4	6535090.9920	325173.1505	1159.4318
4	6535007.4920	325180.2765	1263.4551
5	6535220.4920	325207.2765	757.9409
5	6535192.9920	325209.6195	903.7422
5	6535125.4920	325215.4005	1099.0649
5	6535016.4920	325224.7445	1246.6554
6	6535224.4920	325252.1505	757.9409
6	6535196.9920	325254.5265	903.7422
6	6535129.4920	325260.2765	1099.0649
6	6535020.4920	325269.6505	1246.6554
