# Case1_F054_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6533784.4920	328196.2765	651.9943
1	6533738.9920	328137.0575	725.3842
1	6533668.4920	328044.9635	857.9328
1	6533499.4920	327823.9005	1096.0735
2	6533887.4920	328125.6195	636.5528
2	6533838.4920	328061.2445	725.3842
2	6533763.9920	327964.1195	861.1332
2	6533677.9920	327851.6505	998.5066
2	6533571.9920	327713.0265	1145.6948
3	6534012.4920	328083.2135	585.2643
3	6533937.4920	327985.2135	725.3842
3	6533876.9920	327906.1825	850.6783
3	6533707.4920	327684.5885	1168.7990
4	6534113.4920	328009.3075	606.5424
4	6534040.9920	327914.6505	729.4106
4	6533947.4920	327792.6505	899.7210
4	6533883.4920	327708.8385	1004.0847
5	6534296.4920	327960.4635	509.2531
5	6534233.9920	327878.9635	648.4129
5	6534169.9920	327795.4945	761.0550
5	6534034.4920	327618.2135	977.9023
