# Case1_F114_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6534025.4920	331381.6195	723.9973
1	6534017.4920	331387.7445	756.2483
1	6533949.9920	331439.3695	922.1543
1	6533881.4920	331491.8075	1050.0487
1	6533703.4920	331627.9325	1181.9968
1	6533526.9920	331763.0575	1255.5452
1	6533244.9920	331978.8385	1333.9399
1	6533041.4920	332134.5575	1403.8612
2	6533987.4920	331332.0265	723.9973
2	6533979.4920	331338.1195	756.2483
2	6533911.9920	331389.8075	922.1543
2	6533843.4920	331442.2135	1050.0487
2	6533665.4920	331578.3385	1181.9968
2	6533511.9920	331695.9005	1245.0296
2	6533295.4920	331861.5575	1312.8477
2	6533023.4920	332069.6825	1416.1142
3	6533983.9920	331255.9005	720.8152
3	6533963.9920	331271.1825	769.0560
3	6533891.4920	331326.6505	923.0078
3	6533805.4920	331392.5575	1050.0487
3	6533598.9920	331550.5575	1175.1083
3	6533475.9920	331644.7135	1228.0522
3	6533298.4920	331780.4945	1291.4712
3	6533012.4920	331999.4325	1414.5597
4	6533949.9920	331203.2445	695.9496
4	6533932.9920	331216.2135	766.4957
4	6533853.9920	331276.8075	923.0078
4	6533767.4920	331342.9635	1050.0487
4	6533560.9920	331500.9635	1175.1083
4	6533437.9920	331595.1195	1228.0522
4	6533215.9920	331764.9945	1311.9105
5	6533919.4920	331163.5575	695.9496
5	6533902.9920	331176.3075	766.4957
5	6533823.4920	331237.1195	923.0078
5	6533736.9920	331303.2765	1050.0487
5	6533530.4920	331461.2765	1175.1083
5	6533328.9920	331615.4945	1254.3565
5	6533186.9920	331724.1195	1309.0073
6	6533891.4920	331106.3075	697.8970
6	6533864.9920	331126.6825	766.4957
6	6533785.4920	331187.4945	923.0078
6	6533698.9920	331253.6505	1050.0487
6	6533466.9920	331431.2765	1176.3580
6	6533290.9920	331565.8695	1254.3565
6	6533148.9920	331674.5265	1309.0073
7	6533875.4920	331039.8695	689.4878
7	6533842.4920	331065.0575	765.7063
7	6533774.9920	331116.7135	917.7957
7	6533660.9920	331203.9945	1050.0487
7	6533428.9920	331381.6195	1176.3580
7	6533252.9920	331516.2135	1254.3565
7	6533110.9920	331624.8695	1309.0073
8	6533848.4920	330981.9005	686.3301
8	6533821.4920	331002.4945	766.7639
8	6533748.9920	331057.9635	911.0901
8	6533622.9920	331154.4005	1050.0487
8	6533390.9920	331332.0265	1176.3580
8	6533213.9920	331467.4005	1240.9758
8	6533003.9920	331628.2135	1289.3476
9	6533798.4920	330894.1825	669.7245
9	6533749.9920	330931.3385	809.5915
9	6533659.4920	331000.5575	941.0520
9	6533527.4920	331101.5885	1058.3697
9	6533355.9920	331232.8695	1154.7169
9	6533230.9920	331328.5575	1199.4314
9	6533053.9920	331463.9325	1248.1995
9	6532948.9920	331544.3385	1260.6964
10	6533755.9920	330832.2765	649.8759
10	6533712.9920	330865.0885	803.2516
10	6533615.9920	330939.4325	948.4891
10	6533476.9920	331045.7765	1074.5851
10	6533272.4920	331202.2765	1175.0779
10	6533098.9920	331335.0885	1219.1520
10	6532894.4920	331491.5885	1251.6743
11	6533712.4920	330771.1825	626.1076
11	6533705.4920	330776.5265	722.0862
11	6533634.9920	330830.4635	861.5904
11	6533479.9920	330949.0265	1037.9785
11	6533306.4920	331081.8695	1131.1561
11	6533085.9920	331250.5575	1189.9826
11	6532868.4920	331416.9945	1236.6171
12	6533670.4920	330708.7135	572.2737
12	6533656.9920	330719.1825	719.4101
12	6533612.9920	330752.7445	854.6715
12	6533406.4920	330910.7765	1040.1122
12	6533239.9920	331038.2765	1122.2254
12	6533008.4920	331215.3695	1185.3189
12	6532790.4920	331382.2765	1242.3474
13	6533624.9920	330649.1505	568.1772
13	6533609.9920	330660.6195	757.2206
13	6533512.9920	330734.9325	914.5038
13	6533339.4920	330867.7445	1069.0073
13	6533003.9920	331124.4945	1162.4896
13	6532728.9920	331334.9325	1216.7441
14	6533579.4920	330589.5885	572.2737
14	6533585.4920	330584.9945	706.8249
14	6533510.9920	330641.9945	852.7512
14	6533342.4920	330770.9945	1042.1238
14	6533196.4920	330882.7135	1109.8201
14	6532994.9920	331036.9005	1146.1218
14	6532681.4920	331276.8695	1196.4444
15	6533548.4920	330534.5885	573.3862
15	6533544.4920	330537.6505	730.0172
15	6533441.4920	330616.5265	906.7924
15	6533305.4920	330720.6195	1040.1426
15	6533119.4920	330862.8385	1110.6735
15	6532872.4920	331051.9005	1161.2399
15	6532644.4920	331226.4635	1173.9196
16	6533524.9920	330489.5575	574.0687
16	6533518.9920	330494.1195	719.7637
16	6533452.4920	330545.0265	872.3804
16	6533305.4920	330657.4945	1027.3105
16	6533056.4920	330848.0885	1114.4835
16	6532802.4920	331042.4945	1146.2742
16	6532618.9920	331182.9635	1167.0616
17	6533498.9920	330430.8075	568.9239
