# Case1_F011_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6535289.4920	328226.1825	541.5041
1	6535347.9920	328181.3695	598.7822
1	6535408.9920	328134.8385	640.7593
2	6535258.9920	328233.7445	531.0982
2	6535326.4920	328182.0885	598.3524
2	6535387.4920	328135.5265	647.1541
3	6535182.9920	328150.4005	517.1139
3	6535244.4920	328103.3385	583.9140
3	6535316.9920	328047.8695	652.8078
4	6535110.9920	328048.0885	508.7197
4	6535171.4920	328001.7765	585.7093
4	6535246.9920	327944.0265	648.8728
5	6535057.9920	327962.6195	513.9044
5	6535125.4920	327910.9945	594.0087
5	6535214.9920	327842.5265	673.8515
6	6535040.9920	327897.0265	520.1680
6	6535101.4920	327850.7135	594.6674
6	6535184.9920	327786.8385	669.6301
7	6535031.9920	327809.3695	536.3743
7	6535084.4920	327769.1825	599.6204
7	6535143.4920	327724.1505	657.1268
