# Case1_F119_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6533628.4920	331307.5885	756.6110
1	6533662.4920	331281.6505	832.2991
1	6533753.4920	331211.9325	964.4606
2	6533613.4920	331287.6505	756.6110
2	6533646.9920	331261.9325	831.2323
2	6533738.4920	331191.9635	964.4606
3	6533506.4920	331211.9945	707.7393
3	6533569.9920	331163.4005	826.7822
3	6533654.4920	331098.7765	996.1599
4	6533462.4920	331166.9945	692.2463
4	6533490.4920	331145.6505	749.1495
4	6533516.4920	331125.8075	799.2922
5	6533425.4920	331116.6505	684.1264
5	6533463.4920	331087.6195	755.2821
5	6533486.4920	331070.0885	804.3489
6	6533398.4920	331058.6195	683.3400
6	6533427.4920	331036.4945	746.1442
6	6533450.4920	331018.9325	788.5602
7	6533375.9920	331028.6825	683.3400
7	6533404.4920	331006.7765	746.1442
7	6533427.4920	330989.2445	788.5602
