# Case2_F006_NNW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6540093.9920	323621.8695	725.6506
1	6540139.4920	323621.9005	860.7175
1	6540286.9920	323622.0265	1027.1048
2	6540082.9920	323531.9005	725.4875
2	6540139.4920	323531.9635	860.7175
2	6540282.4920	323532.0885	1012.3902
3	6540075.9920	323474.7135	741.4685
3	6540127.9920	323474.7445	870.4546
3	6540242.9920	323474.8695	985.2852
4	6540040.9920	323399.9325	724.5734
4	6540089.4920	323399.9945	870.6957
4	6540226.9920	323400.1195	984.9054
5	6539994.4920	323315.2445	744.1215
5	6540072.9920	323315.3385	894.8107
5	6540210.4920	323315.4635	991.3401
6	6539978.4920	323230.5885	757.2861
6	6540057.9920	323230.6505	895.3742
6	6540164.4920	323230.7765	1004.8729
7	6539978.9920	323150.5575	757.2861
7	6540054.4920	323150.6505	891.3039
7	6540164.4920	323150.7445	1004.8729
8	6539978.9920	323115.5265	757.2861
8	6540054.9920	323115.5885	891.3039
8	6540164.4920	323115.7135	1004.8729
