# Case2_F165_NNE, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6535379.4920	327197.6825	481.7897
1	6535374.4920	327208.5575	567.8547
1	6535394.4920	327167.2445	660.5659
1	6535419.4920	327115.7135	717.4249
1	6535448.9920	327055.5265	806.7830
1	6535465.4920	327021.2445	880.7569
1	6535484.9920	326981.3075	980.0978
2	6535231.9920	327219.6505	504.2200
2	6535251.4920	327179.6825	575.7868
2	6535279.9920	327120.9635	653.4235
2	6535308.9920	327061.9635	730.3796
2	6535325.9920	327027.1195	781.8689
2	6535336.4920	327005.3695	857.8225
2	6535337.4920	327002.9635	927.0128
3	6535182.4920	327079.3075	554.0454
3	6535185.9920	327071.9325	608.7382
3	6535191.4920	327060.1505	658.6060
3	6535202.4920	327038.3075	715.9820
3	6535217.9920	327005.7445	779.2050
3	6535230.4920	326980.7135	848.2493
3	6535253.9920	326931.9005	985.8589
4	6535134.9920	327049.2765	572.4042
4	6535139.4920	327039.9945	627.3844
4	6535140.9920	327036.6195	686.6105
4	6535153.9920	327009.9635	745.6120
4	6535168.4920	326980.5265	804.2361
4	6535173.9920	326968.8385	865.0609
4	6535178.4920	326959.3695	925.8122
5	6535118.4920	327044.3385	607.1310
5	6535115.9920	327049.9325	686.0131
5	6535124.9920	327031.4005	749.9779
5	6535140.9920	326998.3695	827.5217
5	6535146.4920	326986.7445	904.8084
5	6535155.9920	326967.9325	975.4679
6	6535031.4920	326993.1825	622.8810
6	6535028.9920	326998.8695	716.2268
6	6535040.4920	326975.0885	785.2546
6	6535047.9920	326958.9945	855.9553
6	6535053.9920	326947.2135	943.7424
6	6535062.9920	326928.3075	1076.3487
7	6535001.9920	326964.4325	612.8741
7	6535003.9920	326960.7445	683.8694
7	6535008.9920	326950.5575	764.1850
7	6535012.9920	326942.3385	844.6618
7	6535018.9920	326930.1505	954.6302
7	6535024.9920	326917.7445	1064.5922
8	6534953.9920	326935.6825	615.2387
8	6534954.9920	326933.0575	656.9165
8	6534954.9920	326933.4635	720.9039
8	6534959.9920	326923.0885	816.7085
8	6534967.9920	326907.1825	945.5267
8	6534975.9920	326890.8075	1074.3263
9	6534853.4920	326886.6505	615.2387
9	6534854.4920	326884.0265	656.9165
9	6534854.4920	326884.4325	720.9039
9	6534859.4920	326874.0575	816.7085
9	6534867.4920	326858.1505	945.5267
9	6534875.4920	326841.7765	1074.3263
