# Case2_F007_NNW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6540178.4920	323128.7765	816.1995
1	6540104.4920	323128.7135	932.6559
2	6540177.9920	323256.0885	816.1995
2	6540120.4920	323256.0265	959.8615
3	6540177.9920	323326.1825	816.1995
3	6540112.4920	323326.1195	928.1403
4	6540182.9920	323408.4945	820.7459
4	6540125.9920	323408.4635	906.5784
5	6540197.4920	323445.9005	831.8187
5	6540142.9920	323445.8385	900.8850
6	6540199.9920	323508.3695	832.6789
6	6540142.9920	323508.3385	900.8850
