# Case1_F036_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6534803.9920	327348.6195	513.1146
1	6534747.9920	327275.5265	652.8139
1	6534649.4920	327146.7765	962.4185
1	6534546.9920	327012.9325	1232.1975
2	6534747.9920	327378.4325	508.3250
2	6534706.9920	327325.0575	630.5778
2	6534665.4920	327270.9945	752.8123
2	6534626.4920	327219.4325	875.4701
2	6534583.4920	327163.7765	997.4434
2	6534536.4920	327102.0265	1118.3045
2	6534486.4920	327037.0885	1238.5538
3	6534703.9920	327403.2445	502.3460
3	6534683.4920	327376.7135	586.7459
3	6534647.9920	327329.9635	684.3973
3	6534603.9920	327272.4005	822.7332
3	6534535.9920	327183.6505	1012.1924
3	6534487.9920	327120.9945	1128.9219
3	6534437.9920	327055.4005	1245.0659
4	6534656.9920	327444.5885	491.3528
4	6534620.9920	327397.2765	620.2271
4	6534579.9920	327344.0265	748.2872
4	6534539.4920	327291.3695	876.4601
4	6534490.9920	327227.5885	1002.7345
4	6534437.9920	327158.6825	1127.9965
4	6534382.9920	327086.6825	1252.6054
5	6534613.4920	327490.5575	482.9369
5	6534587.9920	327457.4635	572.4450
5	6534560.9920	327422.3385	651.6547
5	6534530.9920	327383.0885	759.0342
5	6534498.9920	327341.2445	865.9911
5	6534417.4920	327234.5265	1064.4800
5	6534329.9920	327120.2445	1261.4584
6	6534574.4920	327542.2765	493.7985
6	6534540.9920	327498.4005	601.4684
6	6534499.9920	327445.3385	734.9571
6	6534395.4920	327308.8695	1008.6195
6	6534276.9920	327153.4945	1276.4710
7	6534547.4920	327610.0885	456.1020
7	6534519.9920	327574.1825	556.8895
7	6534474.4920	327514.5885	692.3008
7	6534399.9920	327417.2135	871.6184
7	6534228.9920	327193.6505	1276.2412
8	6534519.9920	327676.9635	451.0103
8	6534486.9920	327633.9325	541.9274
8	6534462.4920	327601.9945	623.3458
8	6534427.4920	327555.8695	715.0197
8	6534384.9920	327500.5265	798.0645
8	6534301.4920	327391.2765	983.1123
8	6534211.9920	327274.2135	1166.1478
9	6534510.9920	327767.9945	417.3954
9	6534477.4920	327724.4005	503.9246
9	6534435.9920	327669.8695	599.9996
9	6534394.9920	327616.2765	698.6215
9	6534322.4920	327521.7765	828.1145
9	6534259.4920	327439.2765	952.6953
9	6534196.4920	327357.0885	1051.0810
10	6534487.9920	327799.9325	439.4175
10	6534446.4920	327745.0885	542.9171
10	6534405.9920	327692.2765	624.3937
10	6534358.9920	327631.1505	729.3356
10	6534297.4920	327550.8075	823.8851
10	6534244.4920	327481.3075	923.9886
10	6534179.9920	327397.2135	1019.7682
11	6534473.9920	327822.1505	456.7448
11	6534442.4920	327781.1825	542.0896
11	6534401.4920	327727.8075	627.7892
11	6534351.9920	327663.0885	725.8286
11	6534290.4920	327582.8385	809.6533
11	6534238.4920	327514.4635	901.9439
11	6534176.4920	327433.7445	990.4251
12	6534452.9920	327836.1505	470.5175
12	6534427.4920	327803.0575	558.7268
12	6534386.9920	327750.0885	643.3575
12	6534339.9920	327688.6825	725.7186
12	6534280.4920	327610.6195	802.6152
12	6534230.9920	327546.0575	884.1213
12	6534174.9920	327472.5885	962.7382
13	6534421.4920	327856.9635	481.9134
13	6534407.4920	327838.1825	555.5392
13	6534376.4920	327797.9945	625.3236
13	6534328.4920	327735.2135	708.6125
13	6534273.9920	327663.8385	774.7954
13	6534217.9920	327590.7445	861.5295
13	6534164.9920	327521.3385	937.3124
14	6534401.9920	327872.3385	487.0533
14	6534383.9920	327848.4635	566.1006
14	6534350.4920	327804.7765	641.9075
14	6534306.4920	327747.6825	714.2151
14	6534250.9920	327674.9635	781.0862
14	6534206.9920	327617.3385	853.3139
14	6534161.4920	327558.1825	925.0292
15	6534373.4920	327896.9005	488.7589
15	6534349.4920	327865.3075	576.7000
15	6534319.9920	327826.8385	644.8565
15	6534288.9920	327786.5885	699.2006
15	6534232.9920	327712.9325	766.7737
15	6534188.9920	327655.9325	840.0102
15	6534148.9920	327603.4325	914.4023
16	6534349.9920	327927.5575	477.5249
