# Case2_F157_NNW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6535699.9920	325561.2765	809.9517
1	6535675.9920	325564.5885	884.8239
1	6535586.4920	325576.9945	997.9908
1	6535312.9920	325614.9005	1170.4604
1	6534992.4920	325659.2765	1259.8719
2	6535725.4920	325517.1825	812.1091
2	6535679.4920	325523.4945	886.2183
2	6535515.4920	325546.1825	1098.3870
2	6535265.4920	325580.8075	1233.0119
2	6534996.4920	325618.0885	1299.1213
3	6535711.4920	325417.3385	812.1091
3	6535687.9920	325420.5885	890.3462
3	6535492.4920	325447.6825	1096.4457
3	6535246.4920	325481.6825	1232.6934
3	6534982.4920	325518.2765	1299.1213
4	6535727.4920	325300.9005	825.2701
4	6535700.9920	325304.6195	896.1716
4	6535498.4920	325332.6825	1082.4465
4	6535233.4920	325369.3385	1215.5932
4	6534966.9920	325406.2445	1299.1213
5	6535719.9920	325162.5575	816.1916
5	6535708.9920	325164.0885	902.3097
5	6535458.9920	325198.6825	1083.6776
5	6535179.4920	325237.4005	1192.6944
5	6534876.4920	325279.3385	1287.6944
6	6535709.4920	325027.9005	806.1695
6	6535670.9920	325033.2135	910.5073
6	6535466.9920	325061.4635	1072.4945
6	6535156.4920	325104.4325	1201.1685
6	6534866.9920	325144.5265	1318.3905
7	6535682.4920	324926.9005	801.3435
7	6535643.4920	324932.3695	909.4322
7	6535452.4920	324958.7765	1072.4945
7	6534971.9920	325025.3385	1295.6792
8	6535648.9920	324800.2445	804.0325
8	6535609.4920	324805.6825	910.7917
8	6535434.9920	324829.8695	1072.4945
8	6535036.4920	324884.9945	1288.0915
9	6535630.9920	324729.1195	801.7035
9	6535586.9920	324735.2445	914.8717
9	6535424.9920	324757.6825	1072.4945
9	6535027.4920	324812.7445	1293.6084
10	6535608.9920	324647.6505	821.0815
10	6535575.4920	324652.3075	914.8717
10	6535425.4920	324673.0575	1065.8544
10	6535016.4920	324729.7135	1294.0988
