# Case1_F007_NNE, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6534854.9920	327541.6505	479.8274
1	6534858.9920	327528.0885	528.2236
1	6534863.9920	327512.4945	575.2565
1	6534880.9920	327458.3075	652.8608
2	6534897.9920	327555.1195	479.8274
2	6534901.9920	327541.5265	528.2236
2	6534906.9920	327525.9325	575.2565
2	6534923.9920	327471.7445	652.8608
3	6534930.4920	327576.9325	471.9373
3	6534932.4920	327569.9945	508.6615
3	6534938.9920	327549.9005	573.1564
3	6534955.9920	327495.2135	650.8708
4	6534942.9920	327596.3385	493.1273
4	6534945.4920	327587.2135	520.2732
4	6534951.9920	327567.3075	571.6757
4	6534966.4920	327520.5265	657.1323
4	6534978.4920	327481.5885	707.5006
5	6534965.9920	327614.6825	488.6358
5	6534971.4920	327597.3075	551.0687
5	6534985.9920	327550.3695	642.9905
5	6535002.9920	327496.7135	716.6766
6	6534994.9920	327629.0575	483.6578
6	6535001.4920	327608.3385	555.8392
6	6535014.4920	327566.3695	631.6397
6	6535029.9920	327515.9005	706.0653
6	6535051.4920	327447.4945	776.6331
7	6535063.9920	327651.4005	489.4091
7	6535070.9920	327628.4635	560.1189
7	6535086.9920	327578.3075	638.7120
7	6535099.4920	327537.6825	695.6680
7	6535115.9920	327484.6825	754.4856
8	6535088.4920	327665.9325	486.0676
8	6535099.4920	327631.2135	545.4366
8	6535110.4920	327595.8385	595.8927
8	6535126.4920	327544.1195	667.4846
8	6535144.9920	327485.2765	733.7647
9	6535115.4920	327662.0265	503.3693
9	6535129.9920	327615.3075	583.6376
9	6535148.4920	327555.9635	658.3686
9	6535169.9920	327487.3695	736.1808
10	6535179.4920	327666.4325	510.3748
10	6535191.9920	327627.2445	564.0151
10	6535205.4920	327584.0575	620.5840
10	6535227.4920	327512.0575	703.1785
11	6535253.4920	327663.6825	511.3636
11	6535266.4920	327621.9005	569.9267
11	6535291.9920	327539.8075	672.1651
