# Case2_F146_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6534561.4920	327404.1822	497.1039
1	6534557.4920	327370.3072	556.4912
1	6534551.4920	327300.8697	655.6945
1	6534552.9920	327315.1510	623.2729
2	6534635.9920	327408.7135	493.3912
2	6534631.9920	327364.4010	556.6861
2	6534624.9920	327294.1822	655.6945
2	6534616.9920	327207.0885	749.8842
3	6534737.4920	327356.5260	485.3780
3	6534732.9920	327313.8697	544.5155
3	6534727.9920	327251.5885	641.7103
3	6534713.9920	327101.8072	889.4189
4	6534874.4920	327257.7760	516.5897
4	6534870.9920	327222.3697	579.9424
4	6534865.4920	327166.1197	674.0528
4	6534850.4920	326996.2135	1008.1691
4	6534842.9920	326918.5260	1189.5558
5	6535022.9920	327279.0572	499.6640
5	6535016.4920	327211.3697	568.4180
5	6535008.4920	327128.9947	675.8236
5	6534995.4920	326982.4635	1008.1691
5	6534983.9920	326866.6197	1216.5613
6	6535122.9920	327315.5885	503.6996
6	6535118.9920	327262.7760	554.3239
6	6535107.9920	327152.0260	677.6920
6	6535096.4920	327027.9947	970.7700
6	6535078.4920	326839.9635	1226.4063
7	6535241.4920	327313.7447	514.9347
7	6535236.4920	327260.2447	571.8529
7	6535228.9920	327176.0260	667.0454
7	6535210.4920	326977.4322	998.9336
7	6535195.9920	326826.4010	1273.3759
8	6535269.9920	327313.9635	516.8701
8	6535265.4920	327269.2760	569.3324
8	6535256.9920	327173.5885	680.4626
8	6535245.9920	327062.7447	870.2468
8	6535235.4920	326943.9947	1070.3484
8	6535223.9920	326824.0572	1304.1608
9	6535380.9920	327321.6510	518.2143
9	6535373.4920	327245.5260	580.7532
9	6535364.4920	327151.9010	684.0440
9	6535356.4920	327063.0885	881.7378
9	6535347.9920	326969.6822	1077.5112
9	6535336.4920	326847.9947	1368.2606
10	6535450.9920	327330.6822	519.8326
10	6535445.9920	327276.7760	579.1836
10	6535434.4920	327148.5260	707.8857
10	6535423.4920	327033.8072	980.3408
10	6535415.9920	326960.0260	1205.2837
10	6535407.9920	326873.4322	1442.5099
11	6535557.4920	327313.3385	525.1393
11	6535552.9920	327266.5885	579.1836
11	6535541.9920	327153.4010	701.4453
11	6535532.9920	327059.5885	984.8822
11	6535527.9920	326999.3385	1185.5934
11	6535516.9920	326877.9635	1487.8642
12	6535676.4920	327284.1197	559.1064
12	6535662.4920	327135.9947	736.1711
12	6535655.9920	327065.7447	989.8810
12	6535648.4920	326979.9947	1219.9751
12	6535635.9920	326852.9010	1495.8197
13	6535788.9920	327243.4635	575.1144
13	6535778.4920	327139.6822	707.8062
13	6535763.9920	326978.5572	1153.9551
13	6535749.9920	326822.3697	1504.6589
14	6535888.9920	327234.3072	575.1144
14	6535879.4920	327129.6510	721.8029
14	6535868.9920	327021.4635	927.3969
14	6535859.9920	326931.6510	1192.0552
14	6535848.9920	326801.6510	1530.9935
15	6536039.9920	327220.3072	575.1144
15	6536029.9920	327099.9010	726.9235
15	6536020.4920	327007.5572	927.3969
15	6536012.4920	326916.8697	1210.8004
15	6536001.9920	326800.1822	1585.3394
16	6536086.4920	327182.4635	608.5999
16	6536078.9920	327104.5885	720.3093
16	6536068.9920	327003.1197	927.3969
16	6536060.9920	326912.4635	1210.8004
16	6536050.4920	326795.8697	1585.3394
17	6536250.9920	327106.9322	625.1993
17	6536247.4920	327074.0572	731.1601
17	6536242.4920	327015.5572	931.4203
17	6536233.4920	326926.1510	1235.6723
17	6536219.4920	326769.6510	1653.7978
18	6536376.4920	327069.7135	620.1882
18	6536372.9920	327036.5572	738.9905
18	6536369.9920	327003.6822	931.4203
18	6536361.4920	326914.5572	1247.0413
18	6536349.4920	326779.4947	1731.6743
19	6536510.4920	327053.7760	628.7259
19	6536507.4920	327027.1510	739.3501
19	6536504.9920	326990.9010	931.4203
19	6536496.9920	326906.1822	1261.1232
19	6536485.4920	326782.1197	1822.7487
20	6536621.4920	326957.8697	630.3717
20	6536621.4920	326964.2135	739.9871
20	6536620.4920	326939.8697	937.8515
20	6536614.4920	326878.8385	1265.9390
20	6536601.9920	326745.0260	1845.9745
21	6536724.9920	326897.8385	636.8761
21	6536725.4920	326898.4322	737.4939
21	6536721.9920	326867.1197	969.7338
21	6536716.9920	326809.2135	1278.8930
21	6536707.9920	326710.9010	1860.3305
