# Case1_F159_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6531192.9920	331345.5885	1000.5490
1	6531300.4920	331263.4005	866.4977
1	6531360.9920	331217.0885	684.7512
2	6531131.4920	331250.9005	990.7649
2	6531198.9920	331199.2445	891.4914
2	6531220.9920	331182.4635	825.8373
2	6531251.9920	331158.8075	731.8185
2	6531277.4920	331139.1825	639.6255
3	6531037.9920	331165.1825	1039.2892
3	6531093.4920	331122.6825	923.4650
3	6531138.9920	331087.8075	819.2841
3	6531183.9920	331053.4945	706.5932
3	6531201.4920	331039.9945	599.5473
4	6530944.4920	331047.6825	1015.2099
4	6531037.9920	330976.1825	833.9450
4	6531094.4920	330932.9325	647.5716
5	6530895.4920	330975.0575	1012.7715
5	6530951.9920	330931.8075	874.9407
5	6531018.4920	330880.9325	673.6077
