# Case2_F113_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6538905.4920	328339.4005	544.6804
1	6538945.9920	328308.4635	628.5679
1	6539017.9920	328253.4635	733.5730
1	6539111.4920	328181.8385	856.7904
2	6538925.9920	328402.4945	534.1904
2	6538983.9920	328358.1195	628.5679
2	6539055.9920	328303.0885	733.5730
2	6539149.4920	328231.4945	856.7904
3	6538963.9920	328452.1505	534.1904
3	6539021.9920	328407.7445	628.5679
3	6539079.9920	328363.4325	720.4985
3	6539187.4920	328281.1195	856.7904
4	6539001.9920	328501.7765	534.1904
4	6539104.9920	328422.8075	686.6946
4	6539222.9920	328332.4635	869.9633
5	6539054.9920	328571.2765	534.1904
5	6539105.4920	328532.5575	619.7781
5	6539159.9920	328491.0575	712.0101
5	6539214.9920	328448.7135	785.5180
5	6539287.4920	328393.3075	887.0958
6	6539092.9920	328620.9005	534.1904
6	6539143.4920	328582.2135	619.7781
6	6539196.9920	328541.3385	710.4389
6	6539252.9920	328498.3385	785.5180
6	6539325.4920	328442.9325	887.0958
7	6539130.9920	328670.5265	534.1904
7	6539181.4920	328631.8385	619.7781
7	6539234.9920	328590.9945	710.4389
7	6539287.9920	328550.4635	786.9743
7	6539363.4920	328492.5575	887.0958
8	6539168.9920	328720.1505	534.1904
8	6539219.4920	328681.4635	619.7781
8	6539272.9920	328640.6195	710.4389
8	6539350.9920	328580.9325	789.5066
8	6539443.4920	328510.0575	886.3363
