# Case1_F015_NNW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6536896.9920	329199.4005	632.5005
1	6536844.9920	329131.4005	723.8361
2	6536877.9920	329236.5575	633.4609
2	6536839.9920	329186.5575	705.0805
3	6536870.4920	329267.7445	634.2805
3	6536845.9920	329235.4635	695.0260
4	6536857.9920	329333.9005	635.1845
4	6536844.4920	329315.6825	675.6249
4	6536829.9920	329297.1195	716.0046
5	6536856.4920	329393.1825	635.8764
5	6536841.9920	329374.4005	691.7055
5	6536824.4920	329351.6825	746.9674
6	6536841.9920	329436.2765	636.0444
6	6536824.4920	329413.0265	719.5302
6	6536795.9920	329375.7765	807.8840
7	6536816.4920	329505.7135	643.5788
7	6536801.4920	329486.2135	709.8226
7	6536780.9920	329459.1195	774.9990
7	6536752.4920	329421.8385	838.1625
8	6536789.4920	329573.3385	653.7219
8	6536767.4920	329544.4635	741.8364
8	6536736.9920	329504.3075	821.3805
8	6536712.9920	329473.1195	861.0144
9	6536757.9920	329635.0885	670.0863
9	6536741.9920	329613.6825	737.5637
9	6536713.9920	329577.4325	802.5067
9	6536677.9920	329530.2445	864.7723
10	6536728.9920	329699.9005	684.7220
10	6536710.4920	329675.7445	754.8480
10	6536670.4920	329623.2445	828.5927
10	6536642.9920	329587.1505	872.8257
11	6536715.9920	329765.1505	692.8665
11	6536698.4920	329742.4005	768.0849
11	6536665.9920	329699.8075	836.1317
11	6536616.4920	329635.1825	929.3113
12	6536663.9920	329799.5575	681.0131
12	6536645.9920	329776.2445	769.0755
12	6536618.9920	329740.8385	852.0243
12	6536568.4920	329675.1195	935.5847
