# Case2_F114_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6539255.9920	328480.4005	622.6694
1	6539265.9920	328472.9005	683.1477
1	6539283.4920	328459.4325	765.7745
1	6539331.9920	328422.1505	888.3620
1	6539405.9920	328365.7765	1013.6174
1	6539508.9920	328286.8695	1113.5581
1	6539615.4920	328205.2135	1210.9700
2	6539207.9920	328438.6825	624.5424
2	6539220.4920	328429.0265	678.2050
2	6539247.9920	328407.9945	783.1338
2	6539293.9920	328372.5265	888.3620
2	6539367.9920	328316.1505	1013.6174
2	6539455.9920	328248.5575	1109.4077
2	6539553.9920	328173.8695	1189.9341
3	6539188.4920	328374.8385	635.9569
3	6539189.4920	328373.8075	679.4111
3	6539216.9920	328353.0885	765.1662
3	6539263.9920	328316.8385	890.2966
3	6539329.9920	328266.5265	1013.6174
3	6539414.4920	328201.7445	1102.3747
3	6539491.4920	328142.7135	1169.6744
4	6539170.4920	328309.8075	655.2767
4	6539183.9920	328299.3385	758.5846
4	6539208.4920	328280.8695	863.6113
4	6539249.4920	328249.4325	948.8823
4	6539292.4920	328216.3075	1001.4814
4	6539393.9920	328138.8385	1109.2958
5	6539136.9920	328256.5265	653.2867
5	6539148.9920	328247.4005	759.2905
5	6539179.9920	328223.6195	888.3620
5	6539248.9920	328171.0265	997.8171
5	6539337.4920	328103.2135	1098.0520
6	6539078.9920	328222.3695	638.4170
6	6539110.9920	328197.7765	759.2905
6	6539142.4920	328173.9945	888.3620
6	6539195.9920	328132.9635	982.6722
6	6539285.9920	328063.8075	1098.2751
