# Case1_F069_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6534626.4920	330016.1825	616.1894
1	6534666.9920	330069.0885	838.9133
1	6534687.9920	330096.4945	1061.4177
2	6534675.4920	329977.8075	616.6374
2	6534719.4920	330034.9005	846.9295
2	6534749.9920	330075.0575	1067.1480
3	6534720.9920	329934.4325	634.0169
3	6534747.9920	329969.5575	739.4721
3	6534774.9920	330005.0265	850.3738
3	6534817.4920	330060.5265	1067.9706
4	6534776.9920	329904.5885	647.0989
4	6534802.9920	329938.4325	743.2912
4	6534825.9920	329968.6825	856.5307
4	6534883.9920	330044.3385	1065.8678
5	6534829.9920	329871.0265	641.5915
5	6534857.9920	329907.5885	740.7980
5	6534875.9920	329931.1195	826.3250
5	6534941.4920	330016.8695	1059.0403
6	6534870.4920	329820.9325	614.6958
6	6534903.4920	329864.3385	733.3761
6	6534928.9920	329897.4945	847.4477
6	6534990.9920	329978.7135	1056.2056
7	6534931.9920	329798.6825	639.0707
7	6534974.9920	329854.7765	835.3776
7	6535038.4920	329938.0265	1056.7847
8	6534978.9920	329757.1195	646.7639
8	6535029.9920	329823.6505	852.4464
8	6535087.9920	329899.7445	1056.8457
9	6535020.9920	329709.4635	647.0596
9	6535073.9920	329778.7445	835.3776
9	6535137.9920	329862.2135	1056.7847
