# Case2_F017_NNW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6540257.4920	325455.4945	876.2702
1	6540366.9920	325461.5885	1107.4975
1	6540503.9920	325469.2135	1308.6168
2	6540328.4920	325394.2765	870.9170
2	6540410.9920	325398.8695	1106.1868
2	6540567.9920	325407.6195	1326.4760
3	6540368.4920	325300.0885	870.0791
3	6540456.4920	325304.9945	1113.3381
3	6540586.4920	325312.2135	1311.5700
4	6540391.9920	325213.1505	846.2526
4	6540480.9920	325218.0885	1099.3434
4	6540593.9920	325224.3695	1310.1789
5	6540397.4920	325107.5575	833.1166
5	6540496.4920	325113.0575	1106.4106
5	6540599.9920	325118.8075	1310.1789
6	6540389.4920	325044.6505	827.5192
6	6540489.4920	325050.2135	1068.6302
6	6540615.4920	325057.1825	1306.8679
7	6540383.9920	324981.8695	827.9612
7	6540512.9920	324989.0575	1098.5693
7	6540630.9920	324995.6195	1303.5154
8	6540389.9920	324876.2765	827.9612
8	6540518.9920	324883.4635	1098.5693
8	6540636.9920	324890.0265	1303.5154
