# Case2_F152_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6536105.9920	326705.8385	738.7220
1	6536101.4920	326700.1195	816.2267
1	6536071.4920	326660.6195	869.4973
1	6536042.4920	326622.8075	891.6605
2	6536046.4920	326751.4005	738.7220
2	6536041.9920	326745.6825	816.2267
2	6536017.9920	326714.0885	860.5194
2	6535984.4920	326670.4005	905.8774
2	6535953.4920	326630.2445	993.4441
3	6535969.9920	326754.2135	746.1935
3	6535968.4920	326752.1195	808.5813
3	6535947.9920	326725.5575	897.6676
3	6535913.4920	326680.8385	977.2199
3	6535885.9920	326644.7765	1058.6864
4	6535909.9920	326779.1195	733.1408
4	6535911.4920	326780.8075	804.3321
4	6535892.4920	326755.7765	904.3165
4	6535862.4920	326716.4945	1004.7580
4	6535829.4920	326673.4005	1104.6445
5	6535876.4920	326817.2445	718.8913
5	6535873.9920	326813.9635	778.9489
5	6535867.9920	326806.3075	838.7755
5	6535841.9920	326772.2135	956.7827
5	6535803.4920	326721.8695	1072.6804
6	6535828.4920	326857.1825	716.2743
6	6535825.4920	326853.2765	806.7839
6	6535812.9920	326837.3385	903.1393
6	6535790.4920	326807.7445	981.5008
6	6535773.9920	326786.1825	1056.2596
7	6535788.4920	326887.5885	716.2743
7	6535785.4920	326883.6505	806.7839
7	6535773.4920	326867.7135	903.1393
7	6535739.4920	326823.1825	1037.4174
7	6535722.9920	326801.6825	1105.7034
8	6535725.9920	326908.7765	713.8947
8	6535718.9920	326899.5265	812.9293
8	6535694.4920	326867.0885	909.9861
8	6535666.4920	326830.4945	1006.6362
8	6535636.9920	326792.4945	1103.0620
9	6535670.4920	326918.0885	711.8462
9	6535662.4920	326908.0885	801.1305
9	6535629.4920	326864.8075	895.3651
9	6535604.4920	326831.7135	972.3705
9	6535561.4920	326776.0575	1091.9831
10	6535594.9920	326922.4325	713.2574
10	6535591.4920	326918.0885	799.7424
10	6535572.4920	326893.2135	892.0263
10	6535544.9920	326856.9635	970.6161
10	6535503.9920	326803.4635	1095.8434
11	6535545.4920	326960.4005	713.2574
11	6535538.9920	326952.3695	797.8527
11	6535519.9920	326927.4005	884.8047
11	6535480.9920	326876.5265	977.8883
11	6535438.9920	326821.1505	1096.6066
12	6535502.4920	326986.3695	710.7086
12	6535485.4920	326964.6195	808.1190
12	6535450.4920	326918.9005	901.2642
12	6535419.9920	326878.6195	1002.9301
12	6535387.9920	326837.3075	1100.7940
13	6535467.9920	327003.1505	707.2376
13	6535446.9920	326975.5575	790.4933
13	6535414.9920	326933.8075	868.3375
13	6535374.4920	326881.1505	1001.4698
13	6535343.4920	326840.2445	1103.7122
