# Case2_F158_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6534979.9920	326385.2445	821.7844
1	6534974.4920	326389.4635	871.0182
1	6534962.9920	326398.2765	956.4224
1	6534909.9920	326439.0265	1041.6365
2	6534979.9920	326338.1825	824.4736
2	6534961.4920	326352.4325	870.7028
2	6534940.4920	326368.4945	956.4224
2	6534886.9920	326409.2445	1041.6365
3	6534954.4920	326294.8075	825.9419
3	6534946.9920	326300.5575	877.4556
3	6534913.4920	326325.8695	978.1721
3	6534835.9920	326385.1825	1057.4806
4	6534948.9920	326251.5575	823.6998
4	6534925.9920	326269.4325	886.5804
4	6534874.9920	326308.1195	983.8700
4	6534814.9920	326354.0885	1046.8370
5	6534948.4920	326204.6195	809.3607
5	6534934.4920	326215.6825	880.1723
5	6534862.4920	326270.7135	979.1679
5	6534757.9920	326350.4325	1061.2565
6	6534939.4920	326164.3385	805.8250
6	6534926.4920	326174.3075	885.2664
6	6534832.9920	326246.1195	1003.6946
6	6534735.4920	326320.6505	1061.2565
7	6534924.9920	326112.4325	808.8855
7	6534893.4920	326136.7765	897.6328
7	6534800.9920	326207.6195	1030.1092
7	6534700.4920	326284.5885	1073.9996
8	6534915.9920	326040.6505	813.0686
8	6534861.4920	326082.5885	936.3126
8	6534766.9920	326154.8385	1038.3788
8	6534629.4920	326259.9325	1107.3710
9	6534940.4920	325943.2445	811.4827
9	6534896.9920	325976.6825	902.9238
9	6534835.4920	326023.7445	963.8318
9	6534711.9920	326118.0575	1041.8318
9	6534578.9920	326219.9005	1109.3552
10	6534918.4920	325897.3075	814.3570
10	6534881.9920	325924.9945	897.7252
10	6534809.4920	325980.5265	974.2679
10	6534688.4920	326073.4325	1055.7804
10	6534548.9920	326180.1195	1117.0810
11	6534903.4920	325845.6825	813.4627
11	6534862.9920	325876.8075	898.6743
11	6534778.9920	325940.8385	974.2679
11	6534683.9920	326013.5265	1050.4040
11	6534577.4920	326095.1505	1116.5763
12	6534891.4920	325807.6825	808.9605
12	6534846.4920	325842.2765	899.6478
12	6534762.4920	325906.2445	979.3172
12	6534663.9920	325981.6195	1055.5317
12	6534575.9920	326049.1505	1115.0690
13	6534871.4920	325760.1195	807.4182
13	6534834.4920	325788.3695	895.1676
13	6534748.9920	325853.9635	991.4901
13	6534560.4920	325997.8385	1113.3143
14	6534852.9920	325727.0265	823.0633
14	6534815.9920	325755.3075	898.0214
14	6534717.4920	325830.8385	1004.2603
14	6534584.4920	325932.2765	1091.1422
15	6534814.9920	325677.3695	823.0633
15	6534777.9920	325705.6505	898.0214
15	6534680.9920	325779.9945	998.5221
15	6534545.4920	325883.5575	1091.0754
16	6534784.4920	325637.6825	823.0633
16	6534747.4920	325665.9635	898.0214
16	6534653.4920	325738.1505	994.4978
16	6534514.9920	325844.0885	1094.9964
17	6534754.9920	325597.2765	824.6215
17	6534724.4920	325620.8695	898.7191
17	6534622.9920	325698.4325	994.4978
17	6534555.9920	325749.6825	1054.8697
17	6534470.9920	325814.6825	1107.1704
18	6534724.4920	325557.5575	824.6215
18	6534692.4920	325582.4005	896.9561
18	6534592.4920	325658.7135	994.4978
18	6534525.4920	325709.9635	1054.8697
18	6534447.9920	325769.2445	1114.2875
19	6534699.4920	325529.6505	837.3768
19	6534682.4920	325542.7765	890.7626
19	6534583.4920	325618.2765	992.6672
19	6534502.9920	325680.1825	1054.8697
19	6534407.9920	325752.8695	1121.4031
20	6534676.4920	325499.8695	837.3768
20	6534659.4920	325512.9945	890.7626
20	6534560.9920	325588.4945	992.6672
20	6534436.4920	325683.6195	1070.3785
