# Case1_F008_NNE, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6535280.9920	327585.5885	536.5148
1	6535291.9920	327551.0885	633.8696
1	6535310.4920	327491.1195	781.3684
2	6535233.4920	327543.0265	537.9568
2	6535241.9920	327515.1825	661.3239
2	6535252.4920	327482.2765	760.6158
2	6535263.4920	327447.4635	859.7473
3	6535207.9920	327497.1825	526.8252
3	6535206.4920	327502.2445	643.0493
3	6535214.9920	327474.7135	763.9107
3	6535223.9920	327445.9325	884.6574
4	6535181.9920	327498.4325	506.1777
4	6535185.9920	327486.1195	664.2165
4	6535191.4920	327467.6195	786.7140
4	6535195.9920	327453.9005	902.1451
5	6535137.9920	327477.2765	512.5697
5	6535142.9920	327461.7765	667.7942
5	6535147.4920	327448.4005	787.1020
5	6535153.4920	327428.3385	864.3678
6	6535097.9920	327434.4635	535.0966
6	6535099.4920	327430.6505	605.0696
6	6535104.9920	327411.9325	771.3783
6	6535117.4920	327372.7445	885.7090
7	6535070.9920	327384.6195	564.0465
7	6535069.4920	327389.3075	629.7411
7	6535069.4920	327388.7445	706.4183
7	6535079.4920	327357.8075	812.7976
7	6535090.9920	327320.8695	879.8032
