# Case2_F093_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6539505.4920	327691.5265	532.3579
1	6539497.4920	327697.4635	585.2957
1	6539483.9920	327707.9945	664.4302
2	6539489.4920	327671.9635	526.7615
2	6539478.9920	327679.9945	581.1129
2	6539452.9920	327699.9325	663.2597
3	6539473.4920	327653.0575	517.7872
3	6539458.4920	327664.2765	578.2292
3	6539429.4920	327686.6825	656.9821
4	6539457.9920	327633.3075	515.1833
4	6539439.4920	327647.4325	586.1906
4	6539413.9920	327667.1195	656.3447
5	6539441.4920	327614.3695	514.3616
5	6539423.9920	327627.9945	584.9022
5	6539398.9920	327646.9945	656.9821
6	6539418.9920	327600.2135	516.6250
6	6539403.4920	327612.2135	587.9709
6	6539379.4920	327630.2135	658.5106
7	6539396.4920	327585.7445	520.0040
7	6539385.4920	327594.3695	580.9672
7	6539359.4920	327614.0265	660.0444
8	6539378.4920	327568.0885	520.2464
8	6539363.4920	327579.5265	590.6334
8	6539339.9920	327597.7135	660.1191
9	6539361.9920	327549.3385	519.2719
9	6539347.4920	327560.4635	584.0728
9	6539320.9920	327580.7135	659.8051
10	6539337.4920	327520.8075	515.6619
10	6539322.9920	327531.9945	588.2757
10	6539297.4920	327551.3695	659.7884
11	6539320.9920	327501.8385	511.8583
11	6539309.4920	327510.8385	584.0728
11	6539282.9920	327531.0885	659.8051
12	6539305.9920	327481.9945	511.8583
12	6539294.4920	327490.9945	584.0728
12	6539267.9920	327511.2135	659.8051
