# Case1_F048_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6534869.9920	328862.2445	531.0150
1	6534861.9920	328868.3385	583.5687
1	6534838.9920	328885.7445	668.9659
2	6534862.9920	328851.7135	520.6356
2	6534851.9920	328860.2135	591.6401
2	6534836.4920	328872.0575	662.3304
3	6534847.9920	328831.6195	513.2911
3	6534837.9920	328839.5575	585.4213
3	6534824.4920	328849.7445	657.3710
4	6534832.4920	328812.2135	512.8257
4	6534822.4920	328819.8695	584.2664
4	6534809.4920	328829.9005	655.5202
5	6534816.4920	328792.9635	513.5883
5	6534806.4920	328800.3695	584.1228
5	6534793.4920	328810.4945	654.4336
6	6534800.4920	328773.6505	513.7367
6	6534790.9920	328780.8385	584.0896
6	6534777.9920	328791.0265	654.2014
7	6534792.4920	328763.9945	513.8099
7	6534783.4920	328771.0575	583.8628
7	6534769.9920	328781.2445	653.6670
8	6534784.4920	328754.3075	513.8776
8	6534775.4920	328761.2135	582.8582
8	6534762.4920	328771.2765	651.5810
9	6534752.9920	328715.4325	514.1101
9	6534744.9920	328721.8385	575.7356
9	6534734.4920	328729.5885	625.7397
10	6534733.9920	328682.9325	512.4255
10	6534724.4920	328690.1195	562.6386
10	6534712.4920	328699.4945	612.6205
11	6534722.9920	328659.6825	510.3035
11	6534711.9920	328668.1195	551.2967
11	6534696.9920	328679.6825	599.3753
12	6534710.4920	328637.8695	508.8483
12	6534695.9920	328648.9325	546.3385
12	6534680.9920	328660.6195	583.7272
13	6534689.4920	328606.6195	507.5913
13	6534656.4920	328632.0575	567.5612
