# Case1_F072_NNW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6535912.9920	330503.8385	685.9055
1	6535930.4920	330506.4945	804.7637
1	6535930.9920	330506.5575	941.9898
1	6535938.4920	330507.7445	1034.7062
1	6535952.9920	330509.9945	1128.6945
1	6535965.9920	330512.0265	1214.6904
2	6535907.9920	330538.7765	685.9055
2	6535924.9920	330541.4325	804.7637
2	6535925.4920	330541.4945	941.9898
2	6535932.9920	330542.6505	1034.7062
2	6535947.4920	330544.9005	1128.6945
2	6535960.9920	330546.9635	1214.6904
3	6535878.9920	330605.8385	680.5465
3	6535892.4920	330607.9325	807.2838
3	6535909.4920	330610.5265	939.9202
3	6535922.4920	330612.5265	1034.7062
3	6535944.4920	330615.9635	1115.7606
3	6535973.9920	330620.4945	1221.0573
4	6535836.9920	330662.5265	670.3881
4	6535855.4920	330665.3695	789.6380
4	6535887.9920	330670.3695	932.6340
4	6535913.4920	330674.3075	1039.9555
4	6535934.9920	330677.6195	1115.7606
4	6535964.4920	330682.1825	1221.0573
5	6535836.9920	330733.6825	671.2653
5	6535855.9920	330736.5885	799.6924
5	6535890.9920	330742.0265	969.3707
5	6535928.9920	330747.8385	1107.6413
5	6535954.4920	330751.8385	1210.2019
6	6535838.9920	330787.6195	671.2208
6	6535856.4920	330790.3385	796.8160
6	6535881.9920	330794.2765	940.6292
6	6535920.9920	330800.3075	1098.5726
6	6535937.9920	330802.8695	1227.0970
7	6535826.9920	330848.4945	671.9350
7	6535849.9920	330852.0575	784.4427
7	6535870.9920	330855.3075	866.3216
7	6535904.4920	330860.5265	1009.1520
7	6535920.9920	330863.0265	1120.5698
7	6535936.9920	330865.5265	1205.3522
8	6535828.4920	330928.6505	672.2638
8	6535852.9920	330932.4635	780.3474
8	6535882.9920	330937.0885	888.0718
8	6535911.9920	330941.5265	995.8914
8	6535932.4920	330944.7445	1104.1343
8	6535952.9920	330947.9005	1212.4321
9	6535832.9920	330991.3695	675.2805
9	6535859.9920	330995.5575	782.2222
9	6535890.4920	331000.3075	885.6480
9	6535924.4920	331005.4945	1011.6740
9	6535951.9920	331009.7765	1130.8287
9	6535972.9920	331013.0265	1229.2742
10	6535818.4920	331088.0265	694.2339
10	6535857.9920	331094.1825	838.1885
10	6535890.9920	331099.2135	972.5433
10	6535917.4920	331103.3385	1098.5598
10	6535934.4920	331105.9325	1204.3863
11	6535807.4920	331140.0265	705.3012
11	6535844.9920	331145.7765	829.1831
11	6535876.4920	331150.6825	953.4180
11	6535901.4920	331154.5575	1078.0287
11	6535921.4920	331157.6195	1202.8757
12	6535795.4920	331200.9005	714.0508
12	6535817.4920	331204.3075	786.2748
12	6535849.4920	331209.2765	883.6379
12	6535879.9920	331213.9635	1019.5277
12	6535910.4920	331218.7135	1203.9705
13	6535784.4920	331270.7765	714.0508
13	6535806.4920	331274.1825	786.2748
13	6535838.4920	331279.1195	883.6379
13	6535868.9920	331283.8385	1019.5277
13	6535899.4920	331288.4945	1198.4503
