# Case1_F143_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6532270.4920	330820.0885	427.2861
1	6532349.9920	330759.2765	549.2765
1	6532432.9920	330695.6505	631.5818
2	6532273.9920	330785.8695	451.4172
2	6532342.4920	330733.4325	551.1022
2	6532417.9920	330675.6825	631.5818
3	6532273.9920	330738.5575	463.7555
3	6532326.4920	330698.3695	563.2577
3	6532394.9920	330645.9325	631.5818
4	6532245.9920	330681.3385	493.2450
4	6532294.4920	330644.1825	570.6125
4	6532356.9920	330596.3385	631.5818
5	6532199.9920	330637.7765	509.2684
5	6532251.4920	330598.3075	578.9092
5	6532315.9920	330548.9635	651.6194
6	6532144.4920	330601.6825	492.5470
6	6532218.4920	330544.9325	591.5462
6	6532277.9920	330499.4005	651.6194
7	6532146.4920	330537.1195	500.0177
7	6532202.9920	330493.8385	595.5848
7	6532247.9920	330459.4945	651.6194
8	6532118.4920	330479.8075	513.5874
8	6532175.9920	330435.7765	602.6776
8	6532227.4920	330396.3385	663.8297
9	6532080.4920	330430.2445	513.5874
9	6532131.9920	330390.8075	591.3176
9	6532189.9920	330346.5265	663.8297
10	6532044.4920	330379.0885	517.6534
10	6532093.9920	330341.1825	591.3176
10	6532151.9920	330296.9005	663.8297
