# Case1_F094_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6531570.4920	329334.2135	718.5941
1	6531550.4920	329307.9945	865.2441
1	6531525.9920	329275.6195	1004.4578
1	6531500.9920	329242.9325	1143.6438
1	6531474.4920	329208.4945	1294.1939
2	6531623.4920	329300.5265	725.4546
2	6531599.4920	329268.8695	863.0919
2	6531574.4920	329236.6195	1000.6795
2	6531548.4920	329202.6195	1138.1028
2	6531522.9920	329168.8385	1298.3828
3	6531668.4920	329256.4005	736.3561
3	6531645.9920	329226.6825	868.3299
3	6531621.9920	329195.6195	1000.1753
3	6531594.9920	329160.0265	1131.5850
3	6531569.4920	329126.8075	1281.4508
4	6531713.4920	329212.3075	747.2500
4	6531692.4920	329184.5885	873.5679
4	6531668.9920	329154.4635	999.6657
4	6531640.9920	329117.4635	1125.0768
4	6531614.4920	329083.1195	1252.8526
5	6531768.9920	329161.2135	757.0173
5	6531755.9920	329144.2765	834.7037
5	6531734.4920	329116.6505	962.3103
5	6531696.9920	329067.4635	1120.2945
5	6531671.4920	329034.1825	1239.7767
6	6531816.9920	329121.1195	760.8014
6	6531797.4920	329095.8695	880.1153
6	6531775.4920	329066.8385	999.0644
6	6531745.4920	329028.0885	1117.0109
6	6531719.9920	328994.4005	1235.5281
7	6531528.9920	329382.3385	730.1849
7	6531506.9920	329353.8072	838.0308
7	6531484.9920	329324.9322	962.1623
7	6531456.4920	329287.7447	1125.4274
7	6531429.4920	329252.5572	1288.8678
7	6531410.4920	329227.4322	1351.6793
