# Case1_F024_NNW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6536534.4920	331139.3075	754.8362
1	6536558.4920	331143.0575	853.6199
1	6536607.9920	331150.6825	969.2317
2	6536472.4920	331077.9325	768.7018
2	6536475.9920	331078.5265	861.3368
2	6536499.4920	331082.1195	1009.2365
3	6536449.9920	331003.3075	754.6332
3	6536457.4920	331004.5265	862.9334
3	6536506.4920	331012.0575	1022.6260
4	6536424.4920	330911.1505	750.0846
4	6536441.9920	330913.8385	863.0352
4	6536458.9920	330916.4945	1024.7371
5	6536433.9920	330850.2135	750.0846
5	6536434.4920	330850.2445	865.7004
5	6536453.4920	330853.1825	1018.6237
6	6536432.4920	330814.2445	754.1421
6	6536439.4920	330815.3075	865.7004
6	6536458.4920	330818.2445	1018.6237
7	6536435.4920	330778.5265	762.0752
7	6536449.9920	330780.8075	872.6800
7	6536486.9920	330786.5265	1040.4968
8	6536440.4920	330725.2765	753.7188
8	6536482.9920	330731.8075	879.8449
8	6536511.4920	330736.2135	1012.4082
8	6536548.4920	330741.9945	1127.4290
9	6536455.9920	330637.9005	751.7150
9	6536503.4920	330645.2135	890.8934
9	6536542.4920	330651.2765	1030.5880
9	6536597.9920	330659.7765	1169.0593
10	6536466.9920	330585.9325	751.2755
10	6536512.9920	330593.0265	892.5554
10	6536540.9920	330597.3695	1004.6468
10	6536601.4920	330606.7135	1162.5826
11	6536478.9920	330507.1505	751.2755
11	6536530.4920	330515.0885	899.1623
11	6536568.9920	330521.0575	1010.6452
11	6536613.4920	330527.9325	1162.5826
12	6536483.9920	330463.4005	741.3728
12	6536536.9920	330471.6195	899.1623
12	6536589.4920	330479.6825	1030.8435
12	6536619.9920	330484.4325	1162.5826
13	6536489.4920	330428.4945	741.3728
13	6536550.4920	330437.9005	906.3818
13	6536601.9920	330445.9005	1054.8535
13	6536625.4920	330449.4945	1162.5826
