# Case2_F140_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6537617.4920	329606.0265	732.8774
1	6537630.4920	329623.4325	814.1958
1	6537659.9920	329661.6505	920.4581
1	6537710.4920	329727.5885	1092.5034
2	6537607.4920	329613.6195	732.8774
2	6537620.4920	329631.0265	814.1958
2	6537649.9920	329669.2445	920.4581
2	6537700.4920	329735.1825	1092.5034
3	6537551.4920	329643.6195	720.5565
3	6537566.9920	329663.5575	828.3586
3	6537596.9920	329703.0575	933.6889
3	6537631.4920	329748.1825	1038.4482
3	6537668.9920	329796.8075	1142.8626
3	6537707.9920	329848.1505	1246.7822
3	6537747.9920	329900.2135	1350.5750
4	6537489.4920	329665.2445	709.5720
4	6537498.9920	329677.8385	812.5498
4	6537518.9920	329703.8385	917.7298
4	6537547.4920	329741.3075	1022.0597
4	6537575.9920	329778.4005	1122.9591
4	6537616.4920	329831.4945	1237.8601
4	6537768.4920	330030.0265	1581.7940
5	6537422.9920	329660.4005	700.6313
5	6537442.9920	329686.5575	868.9084
5	6537481.9920	329737.9945	1034.9689
5	6537535.9920	329808.0265	1198.3786
5	6537607.9920	329902.4325	1357.2224
5	6537683.4920	330000.9325	1515.1619
6	6537346.4920	329663.6505	692.9199
6	6537364.9920	329687.7445	836.4721
6	6537399.4920	329732.8075	978.2239
6	6537449.4920	329797.8385	1116.9722
6	6537512.9920	329880.9635	1252.0970
6	6537578.9920	329967.4325	1386.4309
7	6537288.4920	329669.9325	712.0233
7	6537305.9920	329692.6505	838.2784
7	6537343.4920	329741.5885	970.5018
7	6537392.9920	329806.2765	1105.2587
7	6537455.4920	329888.3075	1234.8611
7	6537518.9920	329971.0265	1363.6623
8	6537231.4920	329698.5575	684.1486
8	6537252.9920	329726.3695	807.2329
8	6537284.9920	329768.3075	917.0611
8	6537313.9920	329805.7765	999.2210
8	6537363.4920	329871.0265	1114.6548
8	6537480.4920	330023.9005	1352.3121
