# Case2_F166_NNE, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6535153.9920	327016.2765	579.8635
1	6535153.4920	327017.3385	664.3198
1	6535152.9920	327018.0885	716.2636
1	6535153.9920	327016.3075	813.4871
2	6535109.9920	326979.1825	527.1224
2	6535107.9920	326982.5885	582.6458
2	6535106.4920	326986.1825	660.2105
2	6535106.4920	326986.6195	730.9947
2	6535103.9920	326991.6505	806.2234
3	6535067.4920	326963.9635	515.2559
3	6535067.4920	326964.4945	581.4964
3	6535063.4920	326972.6505	658.9288
3	6535065.9920	326967.6825	712.4747
3	6535063.4920	326972.1825	813.4871
4	6535018.9920	326936.2135	524.1204
4	6535015.4920	326943.3385	599.5972
4	6535012.9920	326948.0885	677.6704
4	6535013.4920	326947.7445	748.4539
4	6535011.4920	326951.0885	829.5650
5	6534991.4920	326928.5575	500.1125
5	6534989.9920	326931.5575	592.0476
5	6534987.9920	326936.0575	677.2111
5	6534985.9920	326940.0885	762.3211
5	6534984.4920	326942.9005	847.4992
6	6534932.4920	326883.7135	496.9886
6	6534932.4920	326883.9635	586.0123
6	6534929.9920	326888.6825	660.9042
6	6534919.9920	326909.8385	756.6113
6	6534915.4920	326918.6825	882.1748
7	6534891.9920	326839.6505	502.7353
7	6534893.4920	326835.8695	591.2655
7	6534892.9920	326837.7765	686.2758
7	6534896.4920	326830.4635	783.9958
7	6534899.9920	326823.3385	880.2180
8	6534882.4920	326820.8075	507.9227
8	6534881.9920	326821.3695	567.3161
8	6534883.4920	326818.1825	643.4739
8	6534882.4920	326820.3695	738.9777
8	6534886.4920	326812.0575	821.0864
8	6534893.4920	326797.5575	895.7769
9	6534839.9920	326793.0885	494.5879
9	6534842.9920	326786.9635	579.0272
9	6534843.4920	326785.9945	666.6607
9	6534850.4920	326771.1505	764.2670
9	6534862.4920	326747.3385	988.4235
10	6534821.9920	326766.5885	498.7494
10	6534825.9920	326757.4635	614.8964
10	6534830.9920	326748.0575	730.9309
10	6534841.4920	326725.7445	846.4848
10	6534853.9920	326700.6195	961.8875
11	6534741.9920	326712.9945	503.6000
11	6534746.4920	326704.0265	579.7419
11	6534752.9920	326691.1825	655.1886
11	6534767.4920	326661.1195	762.7582
11	6534785.4920	326624.0575	892.7246
