# Case1_F040b_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6534070.9920	327049.3385	799.0577
1	6534089.9920	327034.9322	840.8639
1	6534128.9920	327005.3072	904.3844
1	6534171.4920	326972.6510	966.7772
2	6534029.4920	327002.7447	792.8884
2	6534051.9920	326985.2760	840.8639
2	6534090.9920	326955.6510	904.3844
2	6534133.4920	326922.9947	966.7772
3	6533989.4920	326954.6510	802.0902
3	6534015.9920	326934.1197	866.2233
3	6534050.9920	326907.5572	921.0264
3	6534089.4920	326877.9322	963.0586
3	6534145.9920	326834.6197	1017.9227
3	6534189.9920	326801.3072	1053.2492
4	6533958.9920	326898.9322	821.9662
4	6533974.9920	326886.6822	857.9023
4	6534001.9920	326866.2760	905.1464
4	6534026.4920	326847.1822	948.5805
4	6534067.4920	326816.1510	990.5210
4	6534098.4920	326792.8072	1018.6847
4	6534138.9920	326761.4635	1053.7367
5	6533917.4920	326852.3385	837.2979
5	6533933.9920	326839.4322	869.3324
5	6533956.9920	326821.9635	906.6704
5	6533986.9920	326799.1822	960.7726
5	6534023.4920	326771.0572	1002.6826
5	6534101.9920	326711.0572	1054.2853
6	6533871.4920	326808.7760	846.5944
6	6533893.9920	326791.3072	884.4810
6	6533918.9920	326772.4322	914.2905
6	6533952.4920	326746.4947	957.7245
6	6533988.4920	326719.1510	999.6346
6	6534030.9920	326686.4947	1031.2425
6	6534088.4920	326642.4322	1063.1245
7	6533843.4920	326751.5572	856.9269
7	6533870.9920	326730.2760	891.4914
7	6533892.9920	326713.5572	924.3489
7	6533949.4920	326670.2760	976.6832
7	6533988.9920	326639.9010	1012.5583
7	6534057.4920	326587.4010	1062.8504
8	6533814.9920	326694.3072	854.7933
8	6533834.9920	326679.1197	878.4764
8	6533869.9920	326652.6510	924.9585
8	6533917.4920	326616.0885	973.0866
8	6533993.9920	326557.5885	1032.4007
9	6533780.9920	326641.6510	854.8847
9	6533821.9920	326610.4947	906.8532
9	6533871.4920	326572.5260	962.3576
