# Case2_F121_NNE, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6536611.4920	327366.5260	657.7216
1	6536587.9920	327417.8385	796.2412
2	6536637.4920	327377.7135	657.7216
2	6536613.9920	327429.1510	796.2412
3	6536662.4920	327389.7760	657.7216
3	6536638.4920	327441.0885	796.2412
4	6536766.9920	327403.0572	618.1279
4	6536749.9920	327440.7760	714.4419
4	6536721.4920	327503.8072	818.8575
5	6536854.4920	327400.3697	589.8088
5	6536789.4920	327543.6510	815.2606
6	6536965.9920	327413.9947	536.5419
6	6536883.9920	327592.9322	807.0006
7	6537011.4920	327422.4010	504.7513
7	6536981.9920	327486.4010	631.2283
7	6536924.9920	327611.4010	807.0006
8	6537057.4920	327429.1822	477.4716
8	6537036.9920	327474.4322	574.2336
8	6537003.9920	327546.3385	691.7372
8	6536965.9920	327629.9635	807.0617
9	6537167.9920	327470.7135	450.0395
9	6537142.9920	327525.9947	570.5150
9	6537111.9920	327592.8072	688.4424
9	6537072.4920	327679.0260	807.0310
10	6537191.9920	327485.5885	445.3333
10	6537175.4920	327521.5260	539.2030
10	6537155.4920	327565.2135	631.2283
10	6537098.4920	327690.2135	807.0006
11	6537236.4920	327494.5572	433.2449
11	6537215.9920	327541.2447	541.3761
11	6537187.9920	327601.4635	653.2624
11	6537139.4920	327708.7760	807.0006
12	6537307.4920	327515.3072	433.1169
12	6537292.4920	327548.8697	521.4299
12	6537262.4920	327614.3072	631.2283
12	6537205.4920	327739.3072	807.0006
13	6537331.9920	327528.5260	432.1843
13	6537315.4920	327564.5885	519.4120
13	6537287.4920	327626.5572	628.9911
13	6537229.9920	327751.2447	807.0006
14	6537396.4920	327563.2135	432.4159
14	6537368.9920	327623.9322	540.3123
14	6537346.4920	327672.8385	627.3573
14	6537296.9920	327781.0260	807.0006
15	6537429.9920	327582.7760	438.3931
15	6537404.4920	327637.9947	554.7445
15	6537366.4920	327721.9010	682.6328
15	6537331.9920	327797.6822	807.0006
16	6537511.9920	327619.5885	446.9853
16	6537487.4920	327674.0260	560.5967
16	6537451.4920	327752.3385	685.1566
16	6537415.9920	327829.6822	809.8352
17	6537564.4920	327638.9010	446.9397
17	6537547.9920	327675.1510	536.9687
17	6537520.9920	327734.4010	654.1372
17	6537468.4920	327849.0572	811.8775
18	6537614.9920	327663.9010	455.6022
18	6537598.4920	327699.7760	519.9943
18	6537565.9920	327770.7135	646.4317
18	6537515.9920	327879.9635	822.4234
19	6537667.4920	327681.0572	436.2077
19	6537648.9920	327722.5260	519.9943
19	6537613.9920	327798.1197	645.7793
19	6537549.4920	327940.1197	829.4035
20	6537761.9920	327742.9322	455.9436
20	6537741.4920	327787.9947	533.1433
20	6537708.9920	327858.8385	648.7237
20	6537650.9920	327986.5572	829.4035
21	6537797.9920	327761.4010	461.5794
21	6537777.9920	327804.9947	533.1433
21	6537756.9920	327851.6822	613.6960
21	6537729.4920	327912.2135	699.6287
