# Case1_F121_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6533400.4920	330881.8075	787.3014
1	6533407.9920	330891.6505	849.4761
1	6533429.4920	330919.9005	981.0229
2	6533422.9920	330849.8695	735.8581
2	6533431.9920	330861.6505	803.2062
2	6533444.9920	330878.4325	893.1717
2	6533459.4920	330897.6195	982.9569
3	6533441.9920	330833.3385	681.0022
3	6533445.9920	330838.4325	746.1301
3	6533459.9920	330856.6505	855.9788
3	6533478.9920	330881.9325	981.0229
4	6533458.4920	330814.1195	627.7151
4	6533465.4920	330823.2445	746.1301
4	6533479.4920	330841.4635	855.9788
4	6533495.9920	330862.6505	965.6488
5	6533494.4920	330799.0265	647.7734
5	6533498.9920	330805.3075	740.4642
5	6533509.9920	330819.4945	848.0951
5	6533526.4920	330841.0575	940.4689
6	6533515.4920	330785.4635	642.8865
6	6533525.4920	330798.4945	787.5998
6	6533543.9920	330822.9945	917.2111
7	6533537.4920	330773.0265	633.7401
7	6533542.9920	330780.2135	770.4977
7	6533563.4920	330807.1195	906.3196
8	6533557.9920	330758.5265	615.7395
8	6533565.4920	330768.3075	746.9290
8	6533583.4920	330791.8385	877.4495
9	6533577.4920	330743.3075	596.8821
9	6533591.4920	330761.4635	756.8079
9	6533602.9920	330776.7765	847.6659
