# Case2_F125_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6537145.4920	327837.9005	844.7889
1	6537170.9920	327871.6195	916.0571
1	6537210.4920	327922.9005	983.5878
2	6537104.4920	327866.5265	841.4611
2	6537115.9920	327881.9325	900.1066
2	6537170.9920	327953.8385	999.0342
3	6537063.9920	327875.5885	815.0562
3	6537089.4920	327908.7135	911.0270
3	6537141.9920	327977.2765	1000.7971
4	6537021.9920	327881.9635	784.0519
4	6537044.4920	327911.5265	876.4525
4	6537111.4920	327999.4325	999.0342
5	6536965.4920	327890.8385	746.5053
5	6537004.4920	327941.4005	874.9947
5	6537065.9920	328021.9635	997.5711
6	6536901.4920	327910.1825	709.1151
6	6536918.9920	327932.5885	771.2134
6	6536953.4920	327977.9005	878.2862
6	6536977.4920	328008.9945	937.9137
6	6537009.9920	328051.7135	997.9348
7	6536861.4920	327939.8385	677.6134
7	6536877.9920	327961.5265	762.4482
7	6536900.4920	327990.6195	846.5034
7	6536927.9920	328026.6505	929.5972
7	6536969.9920	328081.7135	1008.6134
8	6536815.4920	327982.6825	650.0390
8	6536829.4920	328000.9635	771.2134
8	6536855.9920	328035.7135	877.4757
8	6536878.4920	328064.7445	943.4568
8	6536921.9920	328121.4945	1021.3761
9	6536768.4920	328024.0265	649.3998
9	6536774.9920	328032.5265	747.2055
9	6536794.4920	328058.2765	843.8248
9	6536822.4920	328094.3695	939.2622
9	6536871.9920	328159.3075	1028.6456
10	6536721.4920	328065.3695	656.2386
10	6536726.9920	328072.8695	758.5309
10	6536747.9920	328099.9325	856.3896
10	6536776.4920	328137.5885	952.1732
10	6536823.4920	328198.9005	1032.5397
11	6536681.9920	328096.3075	656.2399
11	6536692.4920	328109.9945	751.9253
11	6536711.4920	328134.6825	846.8634
11	6536742.4920	328175.1195	939.6590
11	6536791.9920	328239.4635	1027.2496
12	6536641.9920	328126.1195	656.2386
12	6536661.4920	328151.6505	759.7340
12	6536683.9920	328181.1825	865.5218
12	6536718.9920	328226.9005	945.7252
12	6536760.9920	328281.2765	1019.8213
13	6536600.4920	328154.0885	660.3571
13	6536620.9920	328181.0265	752.3380
13	6536639.4920	328205.0575	844.6801
13	6536674.9920	328251.2765	933.6011
13	6536721.9920	328312.9325	1019.0541
14	6536568.4920	328174.1195	665.0904
14	6536591.9920	328204.8075	759.7340
14	6536614.9920	328234.3695	865.5218
14	6536649.4920	328280.0575	945.7252
14	6536691.4920	328334.4635	1019.8213
15	6536538.9920	328196.8075	665.6625
15	6536561.4920	328226.3695	756.3413
15	6536579.4920	328250.1825	847.6991
15	6536614.4920	328295.8695	935.7064
15	6536660.9920	328356.8075	1020.2754
16	6536498.9920	328227.2765	665.0904
16	6536521.9920	328257.4325	759.1488
16	6536545.4920	328287.5265	865.5218
16	6536580.4920	328333.2135	945.7252
16	6536621.9920	328387.6195	1019.8213
17	6536468.4920	328248.6505	664.9090
17	6536491.4920	328278.8075	755.0352
17	6536512.4920	328306.4325	845.4893
17	6536546.4920	328350.9005	933.2719
17	6536593.9920	328413.1505	1016.9528
18	6536436.9920	328269.4005	664.7584
18	6536462.4920	328302.9945	759.1488
18	6536494.9920	328345.0265	872.2124
18	6536528.9920	328389.7445	951.7328
18	6536567.4920	328439.6505	1013.0398
