# Case1_F089_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6532497.9920	328469.2135	653.3068
1	6532487.9920	328455.7765	748.4302
1	6532462.9920	328423.0265	844.7770
1	6532422.4920	328370.0885	963.3207
2	6532476.4920	328482.0575	654.1678
2	6532470.4920	328474.3075	731.2958
2	6532455.4920	328454.7135	807.5718
2	6532429.9920	328420.9005	881.9593
2	6532399.4920	328381.3385	955.2974
3	6532445.9920	328503.4945	654.5994
3	6532442.4920	328498.9635	712.8615
3	6532435.9920	328490.7135	770.9116
3	6532419.4920	328468.9325	831.6593
3	6532367.4920	328400.9945	948.9140
4	6532417.4920	328528.3075	653.5412
4	6532412.9920	328522.2135	729.4493
4	6532398.4920	328503.2445	804.4726
4	6532370.9920	328467.7765	877.2261
4	6532337.4920	328423.4945	948.1913
5	6532398.9920	328545.1825	653.3068
5	6532390.9920	328534.4325	750.4885
5	6532361.4920	328496.2765	853.2962
5	6532317.4920	328438.9945	948.9140
6	6532364.4920	328561.8695	659.8831
6	6532356.4920	328551.0575	758.2164
6	6532328.4920	328514.9325	854.2828
6	6532286.9920	328460.2445	946.9745
7	6532339.9920	328570.6825	666.6061
7	6532332.9920	328561.7135	753.9199
7	6532306.4920	328527.0575	850.8496
7	6532265.4920	328473.5575	944.5395
8	6532312.9920	328597.2135	663.8318
8	6532297.9920	328577.9945	758.5340
8	6532272.9920	328544.9945	851.8454
8	6532234.4920	328494.5265	942.2160
9	6532297.4920	328617.9635	659.7880
9	6532275.9920	328590.2135	752.4962
9	6532258.4920	328567.3385	828.1767
9	6532213.4920	328508.1825	940.2552
10	6532267.4920	328640.4005	663.9413
10	6532244.9920	328610.9945	757.0895
10	6532220.4920	328579.4945	849.8958
10	6532183.4920	328530.7445	939.9635
11	6532234.9920	328659.7445	672.2882
11	6532216.4920	328635.7765	752.4962
11	6532198.9920	328612.9005	828.1767
11	6532153.9920	328553.7445	940.2552
