# Case1_F056_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6534341.4920	327505.4005	617.2370
1	6534330.9920	327491.6825	747.6502
1	6534317.4920	327473.9005	877.8732
2	6534327.4920	327528.0265	622.8374
2	6534316.9920	327514.3695	747.7081
2	6534303.9920	327497.2445	872.4163
3	6534312.9920	327550.4635	622.8493
3	6534301.9920	327535.7445	751.6678
3	6534288.9920	327519.1505	870.0139
4	6534291.9920	327584.4005	600.2635
4	6534282.9920	327573.1505	693.0323
4	6534273.4920	327560.3385	785.7506
4	6534261.9920	327545.1505	878.3371
5	6534275.4920	327604.4635	590.4679
5	6534265.9920	327592.0885	688.5792
5	6534255.4920	327577.9635	786.6028
5	6534241.9920	327560.7135	884.4395
6	6534258.9920	327623.9005	586.6536
6	6534249.4920	327611.5265	678.5476
6	6534239.4920	327597.9635	770.3755
6	6534221.9920	327575.6825	890.8586
7	6534241.4920	327641.7445	597.2296
7	6534229.9920	327627.1825	697.5218
7	6534217.4920	327610.4005	797.6805
7	6534201.9920	327590.4005	897.6191
8	6534222.4920	327658.5885	610.8157
8	6534211.4920	327643.6505	709.1993
8	6534197.4920	327625.8385	807.3923
8	6534181.4920	327604.9635	905.3644
9	6534203.9920	327675.2445	641.7719
9	6534186.9920	327653.2135	771.8730
9	6534160.4920	327618.6505	920.9772
