# Case1_F126_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6532001.4920	329506.5575	420.7021
1	6532031.9920	329546.4945	443.7801
1	6532074.9920	329602.6825	463.8339
1	6532142.9920	329691.5885	488.6809
2	6532031.9920	329484.3075	421.2718
2	6532075.4920	329541.5265	447.9812
2	6532122.9920	329603.7135	470.1012
2	6532172.9920	329668.9635	488.7720
3	6532051.4920	329468.5575	420.7021
3	6532081.9920	329508.4325	437.5454
3	6532119.9920	329558.0885	459.3719
3	6532192.9920	329653.6195	488.6809
4	6532067.9920	329449.2445	416.4206
4	6532111.9920	329506.8695	445.0706
4	6532159.9920	329569.2445	469.6943
4	6532211.9920	329637.2445	487.9969
5	6532073.4920	329435.6825	410.2472
5	6532115.4920	329490.6505	443.6515
5	6532164.4920	329554.8695	470.0616
5	6532220.4920	329627.8385	486.7482
6	6532084.4920	329408.9945	398.6602
6	6532105.4920	329436.8695	425.1059
6	6532155.9920	329502.3385	462.5531
6	6532237.4920	329609.2135	483.6392
7	6532102.9920	329392.0265	398.2249
7	6532141.9920	329443.5265	438.1614
7	6532195.4920	329513.3385	464.4493
7	6532256.9920	329593.4635	478.3930
8	6532134.4920	329371.4635	399.9169
8	6532189.4920	329443.5265	443.3409
8	6532287.9920	329572.4005	473.0690
9	6532160.4920	329364.7445	397.0457
9	6532227.4920	329451.9325	446.8995
9	6532313.4920	329564.7135	472.1854
10	6532190.4920	329362.3385	393.0567
10	6532241.9920	329430.2445	439.0289
10	6532339.9920	329558.0885	472.4795
11	6532230.4920	329373.8385	387.4999
11	6532279.4920	329437.7135	438.0060
11	6532360.9920	329544.3695	472.4253
12	6532268.4920	329402.5575	382.8133
12	6532305.4920	329451.0885	435.8538
12	6532370.4920	329536.1505	472.4488
13	6532284.9920	329403.7135	382.4789
13	6532323.9920	329454.9635	433.3209
13	6532379.9920	329527.7135	472.4795
14	6532307.9920	329392.4635	369.5642
14	6532342.4920	329438.1195	427.3297
14	6532399.4920	329512.2445	472.4887
15	6532337.4920	329369.6825	369.5627
15	6532372.4920	329415.1505	427.4702
15	6532428.9920	329489.4945	472.4881
16	6532365.9920	329344.9635	370.2689
16	6532401.4920	329391.3695	427.9470
16	6532458.9920	329466.7765	472.4853
17	6532382.4920	329325.5265	371.8225
17	6532423.4920	329378.9945	433.3209
17	6532478.9920	329451.7445	472.4795
