# Case1_F129_EW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6533408.4920	331050.9325	645.8769
1	6533340.9920	331102.5885	795.5249
1	6533224.9920	331191.4005	980.6151
1	6533079.9920	331302.3385	1092.2328
2	6533378.4920	330995.2135	606.3047
2	6533302.9920	331052.9635	795.5249
2	6533186.9920	331141.7765	980.6151
2	6533041.9920	331252.7135	1092.2328
3	6533369.4920	330923.4635	588.6262
3	6533278.9920	330992.6825	791.7451
3	6533148.9920	331092.1825	980.6151
3	6533003.9920	331203.1195	1092.2328
4	6533386.9920	330878.6505	490.6054
4	6533368.9920	330892.3695	552.3184
4	6533263.9920	330972.7765	791.7451
4	6533133.9920	331072.2765	980.6151
4	6532988.9920	331183.2135	1092.2328
5	6533358.9920	330821.3695	448.2046
5	6533348.9920	330828.9945	480.0441
5	6533330.9920	330842.7445	552.3184
5	6533225.9920	330923.1505	791.7451
5	6533117.4920	331006.0885	978.6034
5	6532970.9920	331118.3075	1096.0126
6	6533331.9920	330763.3695	407.5594
6	6533310.9920	330779.3695	480.0441
6	6533292.9920	330793.1195	552.3184
6	6533198.9920	330865.1505	790.5201
6	6533079.4920	330956.4635	978.6034
6	6532932.9920	331068.7135	1096.0126
7	6533293.9920	330713.6825	407.5594
7	6533265.9920	330735.0575	479.7820
7	6533254.9920	330743.4635	552.3184
7	6533188.4920	330794.3385	789.5386
7	6533041.4920	330906.8075	978.6034
7	6532894.9920	331019.0265	1096.0126
8	6533255.9920	330664.0885	407.5594
8	6533240.9920	330675.5575	551.9130
8	6533159.4920	330737.9005	789.8587
8	6533046.4920	330824.4005	982.6265
8	6532906.4920	330931.5265	1087.4477
9	6533230.4920	330604.7445	398.8025
9	6533202.9920	330625.8695	551.9130
9	6533121.4920	330688.2135	789.8587
9	6533008.4920	330774.7135	982.6265
9	6532868.4920	330881.8385	1087.4477
10	6533186.9920	330559.4635	360.8518
10	6533164.9920	330576.2765	551.9130
10	6533098.4920	330627.1505	771.4152
10	6533002.9920	330700.1825	931.7860
10	6532822.4920	330838.3385	1081.3822
11	6533148.9920	330509.8385	360.8518
11	6533126.9920	330526.6505	551.9130
11	6533051.4920	330584.4005	786.2315
11	6532929.4920	330677.8075	947.8795
11	6532778.4920	330793.3075	1080.3458
12	6533127.4920	330463.3075	354.1828
12	6533088.4920	330493.0885	608.1670
12	6532974.4920	330580.3695	852.9036
12	6532758.9920	330745.2445	1071.1409
13	6533108.9920	330414.4635	346.2945
13	6533066.9920	330446.5265	599.9313
13	6532947.9920	330537.6195	842.6318
13	6532739.4920	330697.1505	1063.4599
14	6533090.4920	330365.6825	338.3819
14	6533060.4920	330388.5885	532.0034
14	6532981.9920	330448.6195	728.8894
14	6532870.9920	330533.6195	901.4279
14	6532705.4920	330660.3695	1067.0260
15	6533068.9920	330319.1505	343.4446
15	6533055.9920	330329.0885	462.4354
15	6533024.9920	330352.7445	575.0806
15	6532979.4920	330387.5885	695.1388
15	6532918.9920	330433.9325	790.3460
15	6532815.9920	330512.8075	932.1823
15	6532673.9920	330621.4635	1070.0741
16	6533043.9920	330259.5885	335.0108
16	6532999.9920	330293.1825	545.0916
16	6532954.4920	330328.0575	659.7880
16	6532884.9920	330381.2135	781.1627
16	6532770.9920	330468.4945	947.4525
16	6532666.4920	330548.4005	1058.9184
17	6532992.9920	330219.9005	335.0840
17	6532960.9920	330244.3075	537.5356
17	6532914.4920	330279.9325	667.2858
17	6532846.9920	330331.5885	781.1627
17	6532730.9920	330420.4005	949.4340
17	6532650.4920	330481.9635	1032.5836
18	6532948.9920	330174.8695	337.4553
18	6532917.9920	330198.5265	551.6722
18	6532836.9920	330260.6195	750.4510
18	6532717.9920	330351.7135	924.8670
18	6532615.4920	330430.0885	1031.6997
19	6532903.9920	330130.5885	337.5193
19	6532891.9920	330139.7445	457.1414
19	6532870.4920	330156.2765	572.7309
19	6532813.9920	330199.5265	720.9829
19	6532693.4920	330291.6505	905.9999
19	6532582.4920	330376.6195	1041.8800
20	6532836.4920	330103.6195	299.4192
20	6532833.4920	330105.9325	454.1878
20	6532804.4920	330128.0575	601.3212
20	6532732.9920	330182.7765	781.1627
20	6532570.4920	330307.1825	1018.7152
21	6532792.4920	330058.7135	312.1630
21	6532789.4920	330060.9945	452.5450
21	6532773.4920	330073.2135	552.4068
21	6532677.4920	330146.7765	795.4883
21	6532532.4920	330257.7135	1018.7152
22	6532746.4920	330014.9945	306.3626
22	6532721.4920	330034.0885	491.0687
22	6532652.9920	330086.4945	671.6936
22	6532582.4920	330140.4325	839.2482
22	6532478.4920	330220.0885	1006.6450
23	6532699.4920	329972.3075	295.3105
23	6532669.9920	329994.9635	438.2407
23	6532613.9920	330037.7135	576.8244
23	6532510.9920	330116.5885	808.7380
23	6532406.9920	330196.2445	995.5503
