# Case1_F004_NNE, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6535659.9920	328193.1825	476.9007
1	6535676.9920	328082.4945	561.1820
1	6535692.9920	327979.4945	654.0194
2	6535626.4920	328176.7135	469.1950
2	6535633.9920	328127.7445	529.4416
2	6535642.4920	328070.9945	591.6965
2	6535652.4920	328007.9325	651.2664
2	6535661.9920	327946.4325	694.1589
3	6535580.9920	328180.9635	465.6322
3	6535598.9920	328063.8385	589.5989
3	6535621.4920	327918.0575	721.8677
4	6535526.9920	328184.6195	463.4523
4	6535547.9920	328049.3075	591.1089
4	6535566.9920	327924.0885	707.2653
5	6535500.4920	328181.7445	462.6683
5	6535521.4920	328046.8385	587.5997
5	6535543.4920	327903.6825	717.4310
6	6535421.9920	328168.1825	462.1325
6	6535442.9920	328030.4635	591.1149
6	6535465.9920	327882.3075	722.4825
7	6535353.9920	328147.8695	458.5239
7	6535369.9920	328042.7135	593.8600
7	6535389.9920	327913.0885	734.0783
8	6535328.9920	328138.0575	463.0563
8	6535344.4920	328035.7445	604.3994
8	6535359.9920	327935.2135	709.3029
9	6535270.4920	328107.7445	491.9575
9	6535282.4920	328031.0265	612.7771
9	6535297.9920	327930.5265	729.2734
10	6535213.4920	328074.1825	519.8178
10	6535222.4920	328016.4005	609.5404
10	6535228.9920	327973.7135	669.5606
11	6535189.4920	328053.0885	515.3888
11	6535195.4920	328015.5265	587.5851
11	6535203.4920	327964.0885	659.0830
12	6535163.4920	327987.2135	499.4849
12	6535165.9920	327968.6825	576.0941
12	6535167.9920	327957.1825	632.8172
