# Case2_F122_NNE, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6536483.9920	327524.6510	661.1443
1	6536479.9920	327537.8385	852.2332
2	6536510.4920	327532.8385	661.1443
2	6536506.4920	327546.0260	852.2332
3	6536639.9920	327572.1510	571.3561
3	6536639.4920	327573.7760	655.7341
3	6536637.4920	327581.0572	832.7563
4	6536663.9920	327576.7447	532.1041
4	6536663.4920	327580.0572	645.7826
4	6536661.4920	327584.2135	829.8303
5	6536733.9920	327596.7447	522.1097
5	6536731.4920	327603.7135	649.4158
5	6536730.9920	327606.6197	829.8303
6	6536819.9920	327624.2447	519.1224
6	6536818.9920	327627.2760	558.4572
6	6536817.4920	327631.4322	648.9005
6	6536817.9920	327630.2760	751.8377
6	6536818.4920	327628.5260	853.0866
7	6536920.9920	327659.9322	513.3282
7	6536920.4920	327661.4010	557.4847
7	6536919.9920	327664.4010	649.4158
7	6536918.9920	327667.3072	829.8303
8	6537015.4920	327684.5260	512.5573
8	6537013.4920	327690.2447	564.6324
8	6537011.9920	327696.1510	647.7789
8	6537010.9920	327697.4010	829.8303
9	6537041.9920	327692.3072	514.9133
9	6537041.4920	327693.8697	578.8208
9	6537040.9920	327695.3385	655.7189
9	6537037.9920	327705.6197	829.8303
10	6537145.4920	327721.0260	515.5443
10	6537142.4920	327731.2135	664.6647
10	6537139.9920	327738.5885	829.8303
11	6537194.9920	327748.4322	529.5193
11	6537193.4920	327754.6510	666.9599
11	6537192.4920	327755.7135	829.8303
12	6537238.4920	327761.8697	529.5193
12	6537236.9920	327766.2447	674.9639
12	6537235.9920	327769.1510	829.8303
13	6537298.4920	327778.4947	557.0793
13	6537295.9920	327785.7760	674.9639
13	6537294.9920	327788.6822	829.8303
14	6537328.9920	327796.2447	564.6383
14	6537328.9920	327796.3697	674.9639
14	6537328.4920	327799.2760	829.8303
