# Case1_F071_NNW, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6535650.9920	330425.7765	581.6722
1	6535702.9920	330439.1825	697.6041
1	6535742.4920	330449.4005	788.2761
1	6535791.9920	330462.1825	916.5826
1	6535877.4920	330484.3695	1082.3081
1	6535950.9920	330503.4325	1195.0082
2	6535623.9920	330529.7765	581.6722
2	6535669.4920	330541.5265	678.3245
2	6535718.9920	330554.2445	786.6720
2	6535767.9920	330567.0265	910.3918
2	6535850.4920	330588.3385	1082.3081
2	6535924.4920	330607.4325	1195.0082
3	6535680.9920	330544.4635	673.0402
3	6535731.9920	330557.6825	765.1963
3	6535776.9920	330569.3385	908.5459
3	6535860.9920	330591.0265	1078.8877
3	6535901.9920	330601.6505	1183.6446
4	6535595.4920	330641.2765	570.5906
4	6535711.4920	330671.3385	766.4003
4	6535890.9920	330717.6825	1174.0885
5	6535591.4920	330738.8695	569.8450
5	6535752.9920	330780.6505	871.9168
5	6535878.9920	330813.2135	1178.4191
6	6535593.4920	330830.0265	571.0466
6	6535704.9920	330858.8075	770.8056
6	6535861.9920	330899.4945	1181.3988
7	6535594.4920	330920.8385	572.2097
7	6535737.4920	330957.8695	866.9296
7	6535818.4920	330978.8075	1167.8123
8	6535588.9920	331012.2135	573.0845
8	6535699.9920	331040.9325	780.7046
8	6535788.4920	331063.9005	1160.8217
9	6535568.9920	331103.4005	573.9449
9	6535718.4920	331142.0575	881.5719
9	6535821.9920	331168.9635	1193.8847
10	6535539.9920	331202.4325	573.0845
10	6535650.9920	331231.1505	780.7046
10	6535854.9920	331283.9325	1211.6573
11	6535492.9920	331293.2765	563.5524
11	6535636.9920	331330.5575	785.4378
11	6535831.9920	331381.0265	1125.9660
