# Case2_F134_NS, moved under the Ullrigg cluster
# Source: FaultExamples, pillar based fault sticks, one rigid translation applied to
# Case1 and Case2 together so they keep their positions relative to one another.
# Depth converted from feet at 0.3048 m/ft; the eastings and northings were already metres.
# Shift applied: north +285565.492 m, east -186540.162 m, vertical -2244.968 m.
# A pillar is one fault stick, its points ordered from the top down. Consecutive pillars
# run along strike, so the fault surface is the ruled surface between them.
# Pillar	North(m)	East(m)	Vertical(m, positive down)
1	6537923.9920	330253.5575	1082.1274
1	6537968.4920	330311.6195	1261.2791
1	6538076.9920	330453.3695	1613.4860
1	6538188.9920	330599.8695	1886.7928
2	6538003.4920	330110.5575	1050.0066
2	6538068.9920	330196.0885	1259.5878
2	6538192.9920	330358.6505	1615.0121
2	6538307.9920	330508.7445	1886.7928
3	6538122.4920	330019.4005	1050.0066
3	6538180.9920	330095.6505	1261.1121
3	6538320.4920	330278.2445	1625.9069
3	6538444.4920	330440.2765	1900.1071
4	6538173.4920	329839.4325	936.8414
4	6538224.9920	329906.9005	1115.3397
4	6538299.9920	330004.6505	1301.7573
4	6538432.4920	330177.5265	1585.2395
4	6538593.9920	330389.0575	1892.8659
5	6538241.4920	329681.6505	936.3172
5	6538306.4920	329766.3385	1094.2591
5	6538388.9920	329874.3385	1285.2203
5	6538565.9920	330105.4635	1633.8043
5	6538736.4920	330328.5265	1913.9185
6	6538341.4920	329544.6825	910.6063
6	6538435.4920	329667.5885	1094.2591
6	6538517.9920	329775.5885	1285.2203
6	6538751.9920	330081.3695	1698.7488
6	6538888.4920	330259.8385	1900.2256
7	6538449.9920	329419.4005	867.4255
7	6538564.4920	329568.8695	1094.2591
7	6538646.4920	329675.9635	1285.9911
7	6538867.9920	329965.3695	1690.9218
7	6538997.9920	330134.9945	1904.9827
8	6538578.9920	329320.6505	867.4255
8	6538693.4920	329470.1195	1094.2591
8	6538775.9920	329578.0885	1285.2203
8	6538995.4920	329864.5575	1688.5157
8	6539123.4920	330032.1195	1921.6016
