0	0	0
43,21	1,69	169,61
49,81	2,71	173,52
63,27	4,11	158,89
72,46	5,82	147,24
82,48	7,72	142,07
91,96	9,71	137,72
100,92	11,29	141,27
110,38	12,45	132,6
117,18	13,14	124,69
128,77	14,96	126,93
139,18	16,25	123,37
158,39	18,69	125,83
167,72	20,32	124,74
174,43	21,64	132,73
187,2	23,07	133,37
196,66	24,51	131,94
207,12	26,12	129,98
212,7	26,84	129,26
217,09	27,31	127,75
226,78	28,33	128,55
236,03	28,93	128,13
247	29,23	124,7
252,9	29,59	122,66
271,76	28,3	121,01
281,73	28,38	119,82
290,9	28,33	120,8
310,66	26,09	120,59
320,23	26,27	121,93
330,13	25,93	123,76
339,89	25,96	124,51
349,76	26,39	127,22
359,51	26,44	129,78
369,19	27,61	132,86
378,8	27,48	133,48
389,63	25,51	132,96
401	23,5	131,5
