0	0	0
9,26	0	240,19
19,72	0	216,47
29,2	1	194,73
38,5	1	182,61
47,59	2	174,68
57,12	3	170,17
66,2	3	166,59
75,69	3	163,69
84,93	2	149,52
94,25	2	113,17
103,54	2	97,16
111,36	2	94,85
112,94	2	95,05
115,94	2	100,31
118,94	2	114,94
122,19	3	130,7
125,19	3	142,98
128,19	4	151,08
131,65	5	157,37
134,65	5	159,18
137,65	6	160,03
140,93	6	161,89
143,93	7	164,4
146,93	7	166,1
150,36	8	168,95
153,36	8	170,94
156,36	9	171,69
159,71	9	171,83
162,71	10	171,93
165,71	10,57	171,65
169,03	11,42	171,16
172,03	12,19	170,56
175,03	12,94	169,88
178,27	14	169,31
181,27	15	168,85
184,27	15	167,89
187,87	16	167,01
190,87	17,02	166,13
193,87	18	165,54
197,17	18	164,79
200,17	19,07	164,31
203,17	20	163,34
206,44	20	162,21
209,44	21	161,61
212,44	22	160,89
216,32	22	159,28
219,32	23,12	158,8
222,32	24	158,15
223,32	24	157,98
224,1	24,21	157,24
225,1	24,44	157,12
225,98	24,65	157,21
226,98	24,85	156,88
227,98	25,02	156,89
228,98	25,28	156,95
229,98	25,52	156,67
230,98	25,73	156,72
231,98	25,96	156,67
232,98	26,16	156,48
233,98	26,37	156,43
235,06	26,63	156,44
236,06	26,8	156,53
237,06	26,95	156,55
238,06	27,12	156,92
239,06	27,13	156,92
240,06	27,04	156,92
241,06	27,12	156,84
242,06	27,15	156,8
243,06	27,14	156,37
244,34	27,18	156,46
245,34	27,16	156,26
246,34	27,18	156,08
247,34	27,15	155,89
248,34	27,16	155,32
249,34	27,11	154,96
250,34	27,1	154,46
251,34	27,04	153,86
252,34	27	153,46
253,83	27,04	153,31
254,83	27,05	152,94
255,83	27,06	152,62
256,83	27,1	152,25
257,83	27,02	151,67
258,83	26,92	151,09
259,83	26,95	150,83
260,83	26,91	150,32
261,83	26,88	149,87
262,83	26,89	149,5
263,32	26,95	149,27
264,32	26,94	148,87
265,32	26,98	148,43
266,32	27,08	148,33
267,32	27,09	147,96
268,32	27,14	147,6
269,32	27,19	147,17
270,32	27,21	146,64
271,32	27,28	146,26
272,32	27,35	145,92
272,83	27,45	145,89
273,83	27,5	145,35
274,83	27,59	145,21
275,83	27,74	144,76
276,83	27,81	144,56
277,83	27,89	144,09
278,83	27,99	143,51
279,83	28,05	143,26
280,83	28,1	142,95
282,11	28,21	142,83
283,11	28,31	142,48
